,Position,Driver,Car,Time / Gap,Laps
5,1,Michael Schumacher,Benetton Ford,1:11.852,17
2,2,Ayrton Senna,Williams Renault,+0.215s,21
30,3,Heinz-Harald Frentzen,Sauber Mercedes,+1.085s,21
27,4,Nicola Larini,Ferrari,+1.169s,22
7,5,Mika Hakkinen,McLaren Peugeot,+1.249s,21
6,6,Jos Verstappen,Benetton Ford,+1.371s,21
14,7,Rubens Barrichello,Jordan Hart,+1.761s,21
9,8,Christian Fittipaldi,Footwork Ford,+1.839s,21
8,9,Martin Brundle,McLaren Peugeot,+1.864s,20
28,10,Gerhard Berger,Ferrari,+1.967s,21
24,11,Michele Alboreto,Minardi Ford,+2.165s,21
23,12,Pierluigi Martini,Minardi Ford,+2.264s,21
10,13,Gianni Morbidelli,Footwork Ford,+2.288s,12
29,14,Karl Wendlinger,Sauber Mercedes,+2.471s,20
0,15,Damon Hill,Williams Renault,+2.513s,4
15,16,Aguri Suzuki,Jordan Hart,+2.674s,21
4,17,Mark Blundell,Tyrrell Yamaha,+2.686s,21
20,18,Erik Comas,Larrousse Ford,+2.862s,21
3,19,Ukyo Katayama,Tyrrell Yamaha,+2.954s,13
19,20,Olivier Beretta,Larrousse Ford,+2.985s,20
12,21,Johnny Herbert,Lotus Mugen Honda,+3.110s,21
26,22,Olivier Panis,Ligier Renault,+3.156s,13
25,23,Eric Bernard,Ligier Renault,+3.756s,21
11,24,Pedro Lamy,Lotus Mugen Honda,+3.984s,21
31,25,David Brabham,Simtek Ford,+4.094s,21
32,26,Roland Ratzenberger,Simtek Ford,+4.437s,17
33,27,Paul Belmondo,Pacific Ilmor,+6.684s,5
34,28,Bertrand Gachot,Pacific Ilmor,+6.734s,11
