,Position,Driver,Car,Time
2,1,Ayrton Senna,Williams Renault,1:10.218
5,2,Michael Schumacher,Benetton Ford,1:10.440
0,3,Damon Hill,Williams Renault,1:10.771
7,4,Mika Hakkinen,McLaren Peugeot,1:11.683
28,5,Gerhard Berger,Ferrari,1:11.744
8,6,Martin Brundle,McLaren Peugeot,1:12.351
27,7,Nicola Larini,Ferrari,1:12.372
14,8,Rubens Barrichello,Jordan Hart,1:12.409
9,9,Christian Fittipaldi,Footwork Ford,1:12.444
6,10,Jos Verstappen,Benetton Ford,1:12.554
30,11,Heinz-Harald Frentzen,Sauber Mercedes,1:12.686
4,12,Mark Blundell,Tyrrell Yamaha,1:12.751
10,13,Gianni Morbidelli,Footwork Ford,1:12.866
3,14,Ukyo Katayama,Tyrrell Yamaha,1:13.013
24,15,Michele Alboreto,Minardi Ford,1:13.016
20,16,Erik Comas,Larrousse Ford,1:13.111
23,17,Pierluigi Martini,Minardi Ford,1:13.529
25,18,Eric Bernard,Ligier Renault,1:13.613
29,19,Karl Wendlinger,Sauber Mercedes,1:13.855
15,20,Aguri Suzuki,Jordan Hart,1:13.932
19,21,Olivier Beretta,Larrousse Ford,1:14.101
26,22,Olivier Panis,Ligier Renault,1:14.106
12,23,Johnny Herbert,Lotus Mugen Honda,1:14.424
11,24,Pedro Lamy,Lotus Mugen Honda,1:14.657
31,25,David Brabham,Simtek Ford,1:14.748
32,26,Roland Ratzenberger,Simtek Ford,1:16.356
