,Position,Driver,Car,Time,Laps
2,1,Ayrton Senna,Williams Renault,1:10.218,15
5,2,Michael Schumacher,Benetton Ford,1:10.440,18
0,3,Damon Hill,Williams Renault,1:10.771,15
7,4,Mika Hakkinen,McLaren Peugeot,1:11.683,18
28,5,Gerhard Berger,Ferrari,1:11.744,19
8,6,Martin Brundle,McLaren Peugeot,1:12.351,22
27,7,Nicola Larini,Ferrari,1:12.372,12
14,8,Rubens Barrichello,Jordan Hart,1:12.409,12
9,9,Christian Fittipaldi,Footwork Ford,1:12.444,22
6,10,Jos Verstappen,Benetton Ford,1:12.554,22
30,11,Heinz-Harald Frentzen,Sauber Mercedes,1:12.686,16
4,12,Mark Blundell,Tyrrell Yamaha,1:12.751,21
10,13,Gianni Morbidelli,Footwork Ford,1:12.866,21
3,14,Ukyo Katayama,Tyrrell Yamaha,1:13.013,22
24,15,Michele Alboreto,Minardi Ford,1:13.016,20
20,16,Erik Comas,Larrousse Ford,1:13.111,20
23,17,Pierluigi Martini,Minardi Ford,1:13.529,18
25,18,Eric Bernard,Ligier Renault,1:13.613,15
29,19,Karl Wendlinger,Sauber Mercedes,1:13.855,21
15,20,Aguri Suzuki,Jordan Hart,1:13.932,21
19,21,Olivier Beretta,Larrousse Ford,1:14.101,20
26,22,Olivier Panis,Ligier Renault,1:14.106,16
12,23,Johnny Herbert,Lotus Mugen Honda,1:14.424,20
11,24,Pedro Lamy,Lotus Mugen Honda,1:14.657,20
31,25,David Brabham,Simtek Ford,1:14.748,22
32,26,Roland Ratzenberger,Simtek Ford,1:16.356,18
34,27,Bertrand Gachot,Pacific Ilmor,1:16.927,15
33,28,Paul Belmondo,Pacific Ilmor,1:17.450,18
