,Position,Driver,Car,Time / Gap,Laps
2,1,Ayrton Senna,Williams Renault,1:10.223,21
5,2,Michael Schumacher,Benetton Ford,+1.000s,21
20,3,Erik Comas,Larrousse Ford,+2.007s,19
0,4,Damon Hill,Williams Renault,+2.100s,20
7,5,Mika Hakkinen,McLaren Peugeot,+2.499s,21
14,6,Rubens Barrichello,Jordan Hart,+2.604s,21
8,7,Martin Brundle,McLaren Peugeot,+2.880s,20
28,8,Gerhard Berger,Ferrari,+2.929s,21
30,9,Heinz-Harald Frentzen,Sauber Mercedes,+3.201s,21
6,10,Jos Verstappen,Benetton Ford,+3.400s,15
26,11,Olivier Panis,Ligier Renault,+3.435s,21
4,12,Mark Blundell,Tyrrell Yamaha,+3.534s,21
23,13,Pierluigi Martini,Minardi Ford,+3.555s,21
9,14,Christian Fittipaldi,Footwork Ford,+3.713s,21
29,15,Karl Wendlinger,Sauber Mercedes,+3.761s,18
10,16,Gianni Morbidelli,Footwork Ford,+3.924s,13
3,17,Ukyo Katayama,Tyrrell Yamaha,+3.952s,17
27,18,Nicola Larini,Ferrari,+4.030s,12
12,19,Johnny Herbert,Lotus Mugen Honda,+4.134s,21
15,20,Aguri Suzuki,Jordan Hart,+4.213s,21
24,21,Michele Alboreto,Minardi Ford,+4.523s,22
31,22,David Brabham,Simtek Ford,+4.700s,20
11,23,Pedro Lamy,Lotus Mugen Honda,+4.762s,21
19,24,Olivier Beretta,Larrousse Ford,+4.870s,11
25,25,Eric Bernard,Ligier Renault,+5.549s,15
32,26,Roland Ratzenberger,Simtek Ford,+6.708s,19
34,27,Bertrand Gachot,Pacific Ilmor,+6.995s,13
33,28,Paul Belmondo,Pacific Ilmor,+9.374s,3
