,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,10,1:14.023
0,2,Damon Hill,Williams Renault,45,1:14.348
8,3,Martin Brundle,McLaren Peugeot,54,1:14.684
7,4,Mika Hakkinen,McLaren Peugeot,8,1:14.697
6,5,Jos Verstappen,Benetton Ford,49,1:15.257
28,6,Gerhard Berger,Ferrari,24,1:15.931
24,7,Michele Alboreto,Minardi Ford,44,1:15.994
14,8,Rubens Barrichello,Jordan Hart,64,1:16.061
20,9,Erik Comas,Larrousse Ford,3,1:16.120
30,10,Heinz-Harald Frentzen,Sauber Mercedes,51,1:16.239
10,11,Gianni Morbidelli,Footwork Ford,32,1:16.304
3,12,Ukyo Katayama,Tyrrell Yamaha,40,1:16.482
23,13,Pierluigi Martini,Minardi Ford,56,1:16.639
29,14,Karl Wendlinger,Sauber Mercedes,27,1:16.651
26,15,Olivier Panis,Ligier Renault,2,1:16.795
15,16,Aguri Suzuki,Jordan Hart,32,1:17.015
25,17,Eric Bernard,Ligier Renault,45,1:17.390
12,18,Johnny Herbert,Lotus Mugen Honda,29,1:17.775
19,19,Olivier Beretta,Larrousse Ford,9,1:17.880
11,20,Pedro Lamy,Lotus Mugen Honda,12,1:18.527
32,21,Roland Ratzenberger,Simtek Ford,9,1:19.248
31,22,David Brabham,Simtek Ford,2,1:19.401
