,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Mark Webber,RBR Renault,1:51.886,1:48.210,1:49.327,18
4,2,Nico Rosberg,Mercedes,1:52.560,1:47.417,1:50.673,22
5,3,Sebastian Vettel,RBR Renault,1:47.632,1:46.828,1:50.789,19
14,4,Adrian Sutil,Force India Mercedes,1:49.479,1:47.085,1:50.914,21
10,5,Nico Hulkenberg,Williams Cosworth,1:49.664,1:47.346,1:51.001,22
11,6,Robert Kubica,Renault,1:46.283,1:46.951,1:51.051,19
9,7,Rubens Barrichello,Williams Cosworth,1:50.301,1:48.371,1:51.511,21
3,8,Michael Schumacher,Mercedes,1:52.239,1:48.400,1:51.717,24
23,9,Kamui Kobayashi,Sauber Ferrari,1:48.467,1:47.792,1:51.767,21
15,10,Vitantonio Liuzzi,Force India Mercedes,1:49.922,1:48.238,1:52.254,21
12,11,Vitaly Petrov,Renault,1:47.952,1:48.760,,15
22,12,Pedro de la Rosa,Sauber Ferrari,1:47.153,1:48.771,,14
16,13,Sebastien Buemi,STR Ferrari,1:48.945,1:49.207,,15
17,14,Jaime Alguersuari,STR Ferrari,1:48.655,1:49.464,,16
19,15,Heikki Kovalainen,Lotus Cosworth,1:52.875,1:52.270,,16
24,16,Timo Glock,Virgin Cosworth,1:52.398,1:52.520,,13
1,17,Jenson Button,McLaren Mercedes,1:52.211,,,3
18,18,Jarno Trulli,Lotus Cosworth,1:52.884,,,6
8,19,Fernando Alonso,Ferrari,1:53.044,,,8
2,20,Lewis Hamilton,McLaren Mercedes,1:53.050,,,8
7,21,Felipe Massa,Ferrari,1:53.283,,,7
20,22,Karun Chandhok,HRT Cosworth,1:56.299,,,9
21,23,Bruno Senna,HRT Cosworth,1:57.269,,,9
25,24,Lucas di Grassi,Virgin Cosworth,1:59.977,,,4
