,Position,Driver,Car,Lap,Time
5,1,Nelson Piquet,Brabham BMW,69,1:27.283
15,2,Alain Prost,Renault,60,1:27.645
27,3,Patrick Tambay,Ferrari,55,1:27.911
6,4,Riccardo Patrese,Brabham BMW,48,1:27.922
35,5,Derek Warwick,Toleman Hart,39,1:28.655
2,6,Jacques Laffite,Williams Honda,49,1:28.705
16,7,Eddie  Cheever,Renault,21,1:28.719
1,8,Keke Rosberg,Williams Honda,49,1:29.124
29,9,Marc Surer,Arrows Ford,41,1:29.159
23,10,Mauro Baldi,Alfa Romeo,43,1:29.757
11,11,Elio de Angelis,Lotus Ford,39,1:30.159
30,12,Chico Serra,Arrows Ford,46,1:30.160
25,13,Jean-Pierre Jarier,Ligier Ford,17,1:30.635
4,14,Danny Sullivan,Tyrrell Ford,46,1:30.772
22,15,Andrea de Cesaris,Alfa Romeo,13,1:32.633
28,16,Rene Arnoux,Ferrari,4,1:44.184
9,17,Manfred Winkelhock,ATS BMW,3,1:51.607
26,18,Raul Boesel,Ligier Ford,3,1:52.126
