,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,49,1:28.931
1,2,Michael Schumacher,Ferrari,36,1:28.966
6,3,Jacques Villeneuve,Williams Renault,22,1:29.226
8,4,David Coulthard,McLaren Mercedes,40,1:29.480
2,5,Eddie Irvine,Ferrari,39,1:29.503
3,6,Jean Alesi,Benetton Renault,38,1:29.542
4,7,Gerhard Berger,Benetton Renault,47,1:29.667
11,8,Rubens Barrichello,Jordan Peugeot,27,1:29.888
19,9,Mika Salo,Tyrrell Yamaha,17,1:29.997
12,10,Martin Brundle,Jordan Peugeot,25,1:30.000
9,11,Olivier Panis,Ligier Mugen Honda,40,1:30.184
7,12,Mika Hakkinen,McLaren Mercedes,39,1:30.192
18,13,Ukyo Katayama,Tyrrell Yamaha,44,1:30.772
14,14,Johnny Herbert,Sauber Ford,21,1:30.811
17,15,Jos Verstappen,Footwork Hart,38,1:30.479
10,16,Pedro Diniz,Ligier Mugen Honda,33,1:30.852
15,17,Heinz-Harald Frentzen,Sauber Ford,18,1:31.092
21,18,Giancarlo Fisichella,Minardi Ford,18,1:31.633
20,19,Pedro Lamy,Minardi Ford,17,1:31.897
16,20,Ricardo Rosset,Footwork Hart,17,1:32.169
22,21,Luca Badoer,Forti Ford,34,1:32.426
