,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Kimi Räikkönen,McLaren Mercedes,32,1:27.724,217.623
1,2,Michael Schumacher,Ferrari,27,1:27.759,217.536
3,3,Juan Pablo Montoya,Williams BMW,39,1:27.942,217.083
8,4,Fernando Alonso,Renault,35,1:28.170,216.522
5,5,David Coulthard,McLaren Mercedes,28,1:28.272,216.272
17,6,Jenson Button,BAR Honda,57,1:28.600,215.471
4,7,Ralf Schumacher,Williams BMW,37,1:28.617,215.430
7,8,Jarno Trulli,Renault,44,1:28.638,215.379
16,9,Jacques Villeneuve,BAR Honda,57,1:28.770,215.059
10,10,Heinz-Harald Frentzen,Sauber Petronas,35,1:29.096,214.272
15,11,Antonio Pizzonia,Jaguar Cosworth,37,1:29.217,213.981
11,12,Giancarlo Fisichella,Jordan Ford,49,1:29.274,213.845
20,13,Olivier Panis,Toyota,23,1:29.694,212.843
14,14,Mark Webber,Jaguar Cosworth,14,1:29.697,212.836
19,15,Jos Verstappen,Minardi Cosworth,29,1:31.785,207.994
18,16,Justin Wilson,Minardi Cosworth,13,1:33.139,204.971
9,17,Nick Heidfeld,Sauber Petronas,14,1:33.519,204.138
21,18,Cristiano da Matta,Toyota,7,1:33.753,203.628
12,19,Ralph Firman,Jordan Ford,6,1:36.644,197.537
2,20,Rubens Barrichello,Ferrari,5,1:37.086,196.638
