,Position,Driver,Car,Laps,Time,Points
5,1,David Coulthard,McLaren Mercedes,58,1:34:42.124,10
3,2,Juan Pablo Montoya,Williams BMW,58,+8.675s,8
6,3,Kimi Räikkönen,McLaren Mercedes,58,+9.192s,6
1,4,Michael Schumacher,Ferrari,58,+9.482s,5
7,5,Jarno Trulli,Renault,58,+38.801s,4
10,6,Heinz-Harald Frentzen,Sauber Petronas,58,+43.928s,3
8,7,Fernando Alonso,Renault,58,+45.074s,2
4,8,Ralf Schumacher,Williams BMW,58,+45.745s,1
16,9,Jacques Villeneuve,BAR Honda,58,+65.536s,0
17,10,Jenson Button,BAR Honda,58,+65.974s,0
19,11,Jos Verstappen,Minardi Cosworth,57,+1 lap,0
11,12,Giancarlo Fisichella,Jordan Ford,52,DNF,0
15,13,Antonio Pizzonia,Jaguar Cosworth,52,DNF,0
20,NC,Olivier Panis,Toyota,31,DNF,0
9,NC,Nick Heidfeld,Sauber Petronas,20,DNF,0
18,NC,Justin Wilson,Minardi Cosworth,16,DNF,0
14,NC,Mark Webber,Jaguar Cosworth,15,DNF,0
21,NC,Cristiano da Matta,Toyota,7,DNF,0
12,NC,Ralph Firman,Jordan Ford,6,DNF,0
2,NC,Rubens Barrichello,Ferrari,5,DNF,0
