,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:52.675
6,2,Riccardo Patrese,Williams Renault,+1.591s
1,3,Ayrton Senna,McLaren Honda,+1.842s
25,4,Thierry Boutsen,Ligier Renault,+3.291s
19,5,Michael Schumacher,Benetton Ford,+3.419s
20,6,Martin Brundle,Benetton Ford,+3.514s
2,7,Gerhard Berger,McLaren Honda,+3.536s
12,8,Johnny Herbert,Lotus Ford,+3.823s
11,9,Mika Hakkinen,Lotus Ford,+4.549s
4,10,Andrea de Cesaris,Tyrrell Ilmor,+4.718s
32,11,Stefano Modena,Jordan Yamaha,+5.027s
27,12,Jean Alesi,Ferrari,+5.094s
28,13,Ivan Capelli,Ferrari,+5.143s
16,14,Karl Wendlinger,March Ilmor,+5.670s
33,15,Mauricio Gugelmin,Jordan Yamaha,+5.810s
3,16,Olivier Grouillard,Tyrrell Ilmor,+5.986s
15,17,Gabriele Tarquini,Fondmetal Ford,+6.071s
29,18,Bertrand Gachot,Venturi Lamborghini,+6.222s
21,19,Jyrki Jarvilehto,Dallara Ferrari,+6.235s
24,20,Gianni Morbidelli,Minardi Lamborghini,+6.415s
9,21,Michele Alboreto,Footwork Mugen Honda,+6.461s
14,22,Eric van de Poele,Fondmetal Ford,+6.619s
22,23,Pierluigi Martini,Dallara Ferrari,+6.761s
10,24,Aguri Suzuki,Footwork Mugen Honda,+7.380s
26,25,Erik Comas,Ligier Renault,+7.806s
30,26,Ukyo Katayama,Venturi Lamborghini,+8.543s
17,27,Emanuele Naspetti,March Ilmor,+8.745s
23,28,Christian Fittipaldi,Minardi Lamborghini,+10.039s
35,29,Perry McCarthy,Moda Judd,+15.908s
34,30,Roberto Moreno,Moda Judd,+45.883s
