,Position,Driver,Car,Lap,Time
19,1,Michael Schumacher,Benetton Ford,39,1:53.791
1,2,Ayrton Senna,McLaren Honda,42,1:54.088
5,3,Nigel Mansell,Williams Renault,38,1:55.294
11,4,Mika Hakkinen,Lotus Ford,42,1:55.929
12,5,Johnny Herbert,Lotus Ford,42,1:56.254
21,6,Jyrki Jarvilehto,Dallara Ferrari,40,1:56.676
6,7,Riccardo Patrese,Williams Renault,39,1:57.387
20,8,Martin Brundle,Benetton Ford,41,1:57.398
16,9,Karl Wendlinger,March Ilmor,39,1:57.817
29,10,Bertrand Gachot,Venturi Lamborghini,39,1:57.954
14,11,Eric van de Poele,Fondmetal Ford,42,1:59.097
4,12,Andrea de Cesaris,Tyrrell Ilmor,39,1:59.376
10,13,Aguri Suzuki,Footwork Mugen Honda,39,1:59.482
30,14,Ukyo Katayama,Venturi Lamborghini,40,1:59.914
24,15,Gianni Morbidelli,Minardi Lamborghini,39,2:00.755
17,16,Emanuele Naspetti,March Ilmor,38,2:01.032
33,17,Mauricio Gugelmin,Jordan Yamaha,40,2:01.067
32,18,Stefano Modena,Jordan Yamaha,39,2:03.615
27,19,Jean Alesi,Ferrari,1,2:15.494
25,20,Thierry Boutsen,Ligier Renault,25,2:16.745
15,21,Gabriele Tarquini,Fondmetal Ford,19,2:16.893
28,22,Ivan Capelli,Ferrari,25,2:16.933
9,23,Michele Alboreto,Footwork Mugen Honda,19,2:17.039
3,24,Olivier Grouillard,Tyrrell Ilmor,1,2:23.952
