,Position,Driver,Car,Time / Gap
19,1,Michael Schumacher,Benetton Ford,2:13.261
5,2,Nigel Mansell,Williams Renault,+0.715s
2,3,Gerhard Berger,McLaren Honda,+1.346s
21,4,Jyrki Jarvilehto,Dallara Ferrari,+3.002s
20,5,Martin Brundle,Benetton Ford,+3.177s
27,6,Jean Alesi,Ferrari,+3.498s
9,7,Michele Alboreto,Footwork Mugen Honda,+5.402s
32,8,Stefano Modena,Jordan Yamaha,+6.078s
22,9,Pierluigi Martini,Dallara Ferrari,+6.435s
10,10,Aguri Suzuki,Footwork Mugen Honda,+6.588s
11,11,Mika Hakkinen,Lotus Ford,+6.905s
1,12,Ayrton Senna,McLaren Honda,+7.181s
12,13,Johnny Herbert,Lotus Ford,+7.332s
33,14,Mauricio Gugelmin,Jordan Yamaha,+7.453s
3,15,Olivier Grouillard,Tyrrell Ilmor,+7.947s
4,16,Andrea de Cesaris,Tyrrell Ilmor,+8.428s
29,17,Bertrand Gachot,Venturi Lamborghini,+9.884s
25,18,Thierry Boutsen,Ligier Renault,+10.195s
6,19,Riccardo Patrese,Williams Renault,+11.622s
24,20,Gianni Morbidelli,Minardi Lamborghini,+11.977s
28,21,Ivan Capelli,Ferrari,+13.994s
