,Position,Driver,Car,Time / Gap,Laps
2,1,Rubens Barrichello,Ferrari,1:11.166,25
1,2,Michael Schumacher,Ferrari,+0.168s,28
6,3,Kimi Räikkönen,McLaren Mercedes,+0.360s,20
9,4,Jenson Button,BAR Honda,+0.565s,24
35,5,Anthony Davidson,BAR Honda,+0.754s,31
10,6,Takuma Sato,BAR Honda,+0.822s,23
8,7,Fernando Alonso,Renault,+0.839s,30
12,8,Felipe Massa,Sauber Petronas,+1.017s,24
38,9,Ryan Briscoe,Toyota,+1.043s,34
4,10,Ralf Schumacher,Williams BMW,+1.069s,26
3,11,Juan Pablo Montoya,Williams BMW,+1.114s,24
7,12,Jacques Villeneuve,Renault,+1.150s,31
39,13,Robert Doornbos,Jordan Ford,+1.179s,27
17,14,Ricardo Zonta,Toyota,+1.181s,30
5,15,David Coulthard,McLaren Mercedes,+1.264s,24
16,16,Jarno Trulli,Toyota,+1.379s,36
11,17,Giancarlo Fisichella,Sauber Petronas,+1.465s,29
14,18,Mark Webber,Jaguar Cosworth,+1.650s,35
18,19,Nick Heidfeld,Jordan Ford,+1.948s,24
20,20,Gianmaria Bruni,Minardi Cosworth,+2.301s,31
15,21,Christian Klien,Jaguar Cosworth,+2.343s,32
19,22,Timo Glock,Jordan Ford,+2.800s,24
21,23,Zsolt Baumgartner,Minardi Cosworth,+2.813s,25
37,24,Bjorn Wirdheim,Jaguar Cosworth,+3.137s,28
40,25,Bas Leinders,Minardi Cosworth,+3.588s,10
