,Position,Driver,Car,Time / Gap,Laps
14,1,Mark Webber,RBR Renault,1:33.082,19
22,2,Jenson Button,Brawn Mercedes,+0.381s,18
3,3,Felipe Massa,Ferrari,+0.663s,21
9,4,Jarno Trulli,Toyota,+0.713s,23
21,5,Giancarlo Fisichella,Force India Mercedes,+0.757s,26
4,6,Kimi Räikkönen,Ferrari,+0.758s,23
16,7,Nico Rosberg,Williams Toyota,+0.820s,26
15,8,Sebastian Vettel,RBR Renault,+0.827s,13
17,9,Kazuki Nakajima,Williams Toyota,+0.870s,25
7,10,Fernando Alonso,Renault,+1.066s,16
6,11,Nick Heidfeld,Sauber BMW,+1.139s,25
23,12,Rubens Barrichello,Brawn Mercedes,+1.145s,17
1,13,Lewis Hamilton,McLaren Mercedes,+1.401s,14
5,14,Robert Kubica,Sauber BMW,+1.612s,23
8,15,Nelson Piquet,Renault,+1.656s,24
11,16,Sebastien Bourdais,STR Ferrari,+1.745s,27
12,17,Sebastien Buemi,STR Ferrari,+1.796s,28
2,18,Heikki Kovalainen,McLaren Mercedes,+1.811s,26
10,19,Timo Glock,Toyota,+1.829s,23
20,20,Adrian Sutil,Force India Mercedes,+2.010s,6
