,Position,Driver,Car,Time / Gap,Laps
1,1,Lewis Hamilton,McLaren Mercedes,1:32.149,23
15,2,Sebastian Vettel,RBR Renault,+0.182s,31
22,3,Jenson Button,Brawn Mercedes,+0.220s,32
14,4,Mark Webber,RBR Renault,+0.331s,28
9,5,Jarno Trulli,Toyota,+0.362s,32
20,6,Adrian Sutil,Force India Mercedes,+0.436s,32
23,7,Rubens Barrichello,Brawn Mercedes,+0.515s,26
7,8,Fernando Alonso,Renault,+0.625s,24
17,9,Kazuki Nakajima,Williams Toyota,+0.723s,32
8,10,Nelson Piquet,Renault,+0.843s,29
6,11,Nick Heidfeld,Sauber BMW,+0.863s,36
3,12,Felipe Massa,Ferrari,+0.903s,34
16,13,Nico Rosberg,Williams Toyota,+0.979s,34
5,14,Robert Kubica,Sauber BMW,+1.012s,28
10,15,Timo Glock,Toyota,+1.023s,34
4,16,Kimi Räikkönen,Ferrari,+1.033s,29
2,17,Heikki Kovalainen,McLaren Mercedes,+1.575s,27
12,18,Sebastien Buemi,STR Ferrari,+1.754s,30
11,19,Sebastien Bourdais,STR Ferrari,+1.876s,30
21,20,Giancarlo Fisichella,Force India Mercedes,+6.728s,3
