,Position,Driver,Car,Q1,Q2,Q3,Laps
14,1,Mark Webber,RBR Renault,1:31.257,1:38.038,1:32.230,22
23,2,Rubens Barrichello,Brawn Mercedes,1:31.482,1:34.455,1:32.357,22
22,3,Jenson Button,Brawn Mercedes,1:31.568,1:39.032,1:32.473,23
15,4,Sebastian Vettel,RBR Renault,1:31.430,1:39.504,1:32.480,20
1,5,Lewis Hamilton,McLaren Mercedes,1:31.473,1:39.149,1:32.616,19
2,6,Heikki Kovalainen,McLaren Mercedes,1:31.881,1:40.826,1:33.859,21
20,7,Adrian Sutil,Force India Mercedes,1:32.015,1:36.740,1:34.316,20
3,8,Felipe Massa,Ferrari,1:31.600,1:41.708,1:34.574,22
4,9,Kimi Räikkönen,Ferrari,1:31.869,1:41.730,1:34.710,23
8,10,Nelson Piquet,Renault,1:32.128,1:35.737,1:34.803,24
6,11,Nick Heidfeld,Sauber BMW,1:31.771,1:42.310,,14
7,12,Fernando Alonso,Renault,1:31.302,1:42.318,,15
17,13,Kazuki Nakajima,Williams Toyota,1:31.884,1:42.500,,17
9,14,Jarno Trulli,Toyota,1:31.760,1:42.771,,17
16,15,Nico Rosberg,Williams Toyota,1:31.598,1:42.859,,14
5,16,Robert Kubica,Sauber BMW,1:32.190,,,10
12,17,Sebastien Buemi,STR Ferrari,1:32.251,,,11
21,18,Giancarlo Fisichella,Force India Mercedes,1:32.402,,,11
10,19,Timo Glock,Toyota,1:32.423,,,11
11,20,Sebastien Bourdais,STR Ferrari,1:33.559,,,11
