,Position,Driver,Car,Laps,Time,Points
14,1,Mark Webber,RBR Renault,60,1:36:43.310,10
15,2,Sebastian Vettel,RBR Renault,60,+9.252s,8
3,3,Felipe Massa,Ferrari,60,+15.906s,6
16,4,Nico Rosberg,Williams Toyota,60,+21.099s,5
22,5,Jenson Button,Brawn Mercedes,60,+23.609s,4
23,6,Rubens Barrichello,Brawn Mercedes,60,+24.468s,3
7,7,Fernando Alonso,Renault,60,+24.888s,2
2,8,Heikki Kovalainen,McLaren Mercedes,60,+58.692s,1
10,9,Timo Glock,Toyota,60,+61.457s,0
6,10,Nick Heidfeld,Sauber BMW,60,+61.925s,0
21,11,Giancarlo Fisichella,Force India Mercedes,60,+62.327s,0
17,12,Kazuki Nakajima,Williams Toyota,60,+62.876s,0
8,13,Nelson Piquet,Renault,60,+68.328s,0
5,14,Robert Kubica,Sauber BMW,60,+69.555s,0
20,15,Adrian Sutil,Force India Mercedes,60,+71.941s,0
12,16,Sebastien Buemi,STR Ferrari,60,+90.225s,0
9,17,Jarno Trulli,Toyota,60,+90.970s,0
1,18,Lewis Hamilton,McLaren Mercedes,59,+1 lap,0
4,NC,Kimi Räikkönen,Ferrari,34,DNF,0
11,NC,Sebastien Bourdais,STR Ferrari,18,DNF,0
