,Position,Driver,Car,Lap,Time,Avg Speed
7,1,Fernando Alonso,Renault,49,1:33.365,198.498
9,2,Jarno Trulli,Toyota,52,1:33.654,197.885
14,3,Mark Webber,RBR Renault,37,1:34.003,197.151
15,4,Sebastian Vettel,RBR Renault,42,1:34.089,196.970
17,5,Kazuki Nakajima,Williams Toyota,49,1:34.238,196.659
22,6,Jenson Button,Brawn Mercedes,53,1:34.252,196.630
16,7,Nico Rosberg,Williams Toyota,50,1:34.403,196.315
3,8,Felipe Massa,Ferrari,53,1:34.458,196.201
5,9,Robert Kubica,Sauber BMW,47,1:34.537,196.037
6,10,Nick Heidfeld,Sauber BMW,42,1:34.559,195.991
23,11,Rubens Barrichello,Brawn Mercedes,54,1:34.676,195.749
8,12,Nelson Piquet,Renault,46,1:34.876,195.337
21,13,Giancarlo Fisichella,Force India Mercedes,54,1:35.301,194.465
20,14,Adrian Sutil,Force India Mercedes,43,1:35.366,194.333
1,15,Lewis Hamilton,McLaren Mercedes,46,1:35.367,194.331
10,16,Timo Glock,Toyota,40,1:35.369,194.327
2,17,Heikki Kovalainen,McLaren Mercedes,59,1:35.524,194.011
4,18,Kimi Räikkönen,Ferrari,4,1:36.080,192.889
12,19,Sebastien Buemi,STR Ferrari,24,1:36.279,192.490
11,20,Sebastien Bourdais,STR Ferrari,10,1:37.498,190.083
