,Position,Driver,Car,Time,Laps
9,1,Kimi Räikkönen,McLaren Mercedes,2:31.421,6
7,2,Mark Webber,Williams BMW,2:31.668,6
5,3,Fernando Alonso,Renault,2:31.691,6
17,4,Ralf Schumacher,Toyota,2:31.917,6
16,5,Jarno Trulli,Toyota,2:31.995,6
6,6,Giancarlo Fisichella,Renault,2:32.830,6
10,7,Juan Pablo Montoya,McLaren Mercedes,2:33.472,6
1,8,Michael Schumacher,Ferrari,2:33.551,6
14,9,David Coulthard,RBR Cosworth,2:34.168,6
12,10,Felipe Massa,Sauber Petronas,2:34.224,6
15,11,Vitantonio Liuzzi,RBR Cosworth,2:35.302,6
11,12,Jacques Villeneuve,Sauber Petronas,2:36.480,6
19,13,Narain Karthikeyan,Jordan Toyota,2:39.268,8
18,14,Tiago Monteiro,Jordan Toyota,2:39.943,6
21,15,Christijan Albers,Minardi Cosworth,2:41.141,6
20,16,Patrick Friesacher ,Minardi Cosworth,2:42.759,6
8,17,Nick Heidfeld,Williams BMW,1:15.038,3
2,18,Rubens Barrichello,Ferrari,1:15.746,3
