,Position,Driver,Car,Time / Gap
27,1,Nigel Mansell,Ferrari,1:07.782
1,2,Ayrton Senna,McLaren Honda,+0.174s
2,3,Alain Prost,McLaren Honda,+0.189s
19,4,Alessandro Nannini,Benetton Ford,+0.397s
28,5,Gerhard Berger,Ferrari,+0.638s
5,6,Thierry Boutsen,Williams Renault,+0.753s
6,7,Riccardo Patrese,Williams Renault,+1.134s
3,8,Jonathan  Palmer,Tyrrell Ford,+1.668s
29,9,Eric Bernard,Lola Lamborghini,+1.759s
20,10,Emanuele Pirro,Benetton Ford,+2.070s
23,11,Pierluigi Martini,Minardi Ford,+2.322s
36,12,Stefan Johansson,Onyx Ford,+2.511s
40,13,Gabriele Tarquini,AGS Ford,+2.682s
37,14,Bertrand Gachot,Onyx Ford,+2.736s
24,15,Luis Perez-Sala,Minardi Ford,+2.798s
8,16,Stefano Modena,Brabham Judd,+2.960s
11,17,Nelson Piquet,Lotus Judd,+2.987s
25,18,Rene Arnoux,Ligier Ford,+3.052s
15,19,Mauricio Gugelmin,March Judd,+3.147s
16,20,Ivan Capelli,March Judd,+3.189s
21,21,Alex Caffi,Dallara Ford,+3.224s
9,22,Martin Donnelly,Arrows Ford,+3.351s
26,23,Olivier Grouillard,Ligier Ford,+3.477s
12,24,Satoru Nakajima,Lotus Judd,+3.808s
4,25,Jean Alesi,Tyrrell Ford,+3.919s
31,26,Roberto Moreno,Coloni Ford,+4.088s
10,27,Eddie  Cheever,Arrows Ford,+4.431s
22,28,Andrea de Cesaris,Dallara Ford,+4.479s
30,29,Philippe Alliot,Lola Lamborghini,+4.527s
38,30,Christian Danner,Rial Ford,+5.207s
