,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:08.361
2,2,Alain Prost,McLaren Honda,+0.459s
28,3,Gerhard Berger,Ferrari,+0.985s
27,4,Nigel Mansell,Ferrari,+1.051s
5,5,Thierry Boutsen,Williams Renault,+1.168s
16,6,Ivan Capelli,March Judd,+1.215s
4,7,Jean Alesi,Tyrrell Ford,+1.484s
6,8,Riccardo Patrese,Williams Renault,+1.584s
19,9,Alessandro Nannini,Benetton Ford,+1.590s
26,10,Olivier Grouillard,Ligier Ford,+1.683s
10,11,Eddie  Cheever,Arrows Ford,+2.218s
21,12,Alex Caffi,Dallara Ford,+2.219s
15,13,Mauricio Gugelmin,March Judd,+2.598s
22,14,Andrea de Cesaris,Dallara Ford,+2.690s
3,15,Jonathan  Palmer,Tyrrell Ford,+2.701s
9,16,Martin Donnelly,Arrows Ford,+2.746s
40,17,Gabriele Tarquini,AGS Ford,+2.815s
30,18,Philippe Alliot,Lola Lamborghini,+2.890s
36,19,Stefan Johansson,Onyx Ford,+3.072s
23,20,Pierluigi Martini,Minardi Ford,+3.263s
20,21,Emanuele Pirro,Benetton Ford,+3.264s
24,22,Luis Perez-Sala,Minardi Ford,+3.451s
25,23,Rene Arnoux,Ligier Ford,+3.548s
37,24,Bertrand Gachot,Onyx Ford,+3.554s
8,25,Stefano Modena,Brabham Judd,+3.864s
11,26,Nelson Piquet,Lotus Judd,+3.934s
12,27,Satoru Nakajima,Lotus Judd,+4.068s
29,28,Eric Bernard,Lola Lamborghini,+4.296s
38,29,Christian Danner,Rial Ford,+4.751s
31,30,Roberto Moreno,Coloni Ford,+459.989s
