,Position,Driver,Car,Time,Laps
8,1,Fernando Alonso,Renault,1:13.698,6
1,2,Michael Schumacher,Ferrari,1:13.971,6
5,3,David Coulthard,McLaren Mercedes,1:13.987,6
9,4,Jenson Button,BAR Honda,1:13.995,6
7,5,Jarno Trulli,Renault,1:14.070,6
3,6,Juan Pablo Montoya,Williams BMW,1:14.172,6
10,7,Takuma Sato,BAR Honda,1:14.240,6
4,8,Marc Gene,Williams BMW,1:14.275,6
6,9,Kimi Räikkönen,McLaren Mercedes,1:14.346,6
2,10,Rubens Barrichello,Ferrari,1:14.478,3
16,11,Cristiano da Matta,Toyota,1:14.553,6
14,12,Mark Webber,Jaguar Cosworth,1:14.798,6
15,13,Christian Klien,Jaguar Cosworth,1:15.065,6
17,14,Olivier Panis,Toyota,1:15.130,6
11,15,Giancarlo Fisichella,Sauber Petronas,1:16.177,6
12,16,Felipe Massa,Sauber Petronas,1:16.200,6
18,17,Nick Heidfeld,Jordan Ford,1:16.807,6
19,18,Giorgio Pantano,Jordan Ford,1:17.462,6
20,19,Gianmaria Bruni,Minardi Cosworth,1:17.913,6
21,20,Zsolt Baumgartner,Minardi Cosworth,1:18.247,6
