,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:18.722,1:18.458,1:18.348,23
44,2,Lewis Hamilton,Mercedes,1:18.857,1:17.968,1:18.355,24
33,3,Max Verstappen,Red Bull Racing Honda,1:19.485,1:18.650,1:18.746,20
11,4,Sergio Perez,Red Bull Racing Honda,1:19.337,1:18.845,1:18.890,22
55,5,Carlos Sainz,Ferrari,1:19.309,1:18.813,1:19.039,23
31,6,Esteban Ocon,Alpine Renault,1:19.092,1:18.586,1:19.042,17
4,7,Lando Norris,McLaren Mercedes,1:18.794,1:18.481,1:19.116,24
16,8,Charles Leclerc,Ferrari,1:19.373,1:18.769,1:19.306,29
10,9,Pierre Gasly,AlphaTauri Honda,1:19.464,1:19.052,1:19.475,26
5,10,Sebastian Vettel,Aston Martin Mercedes,1:19.403,1:18.970,1:19.659,22
63,11,George Russell,Williams Mercedes,1:19.797,1:19.109,,15
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:19.410,1:19.216,,19
14,13,Fernando Alonso,Alpine Renault,1:19.728,1:19.456,,12
22,14,Yuki Tsunoda,AlphaTauri Honda,1:19.684,1:19.463,,17
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:19.748,1:19.812,,19
3,16,Daniel Ricciardo,McLaren Mercedes,1:19.839,,,11
18,17,Lance Stroll,Aston Martin Mercedes,1:19.913,,,10
6,18,Nicholas Latifi,Williams Mercedes,1:20.285,,,9
47,19,Mick Schumacher,Haas Ferrari,1:20.452,,,11
9,20,Nikita Mazepin,Haas Ferrari,1:20.912,,,11
