,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:19.837,33
33,2,Max Verstappen,Red Bull Racing Honda,+0.143s,26
77,3,Valtteri Bottas,Mercedes,+0.344s,28
55,4,Carlos Sainz,Ferrari,+0.360s,33
14,5,Fernando Alonso,Alpine Renault,+0.383s,32
31,6,Esteban Ocon,Alpine Renault,+0.398s,31
16,7,Charles Leclerc,Ferrari,+0.523s,33
3,8,Daniel Ricciardo,McLaren Mercedes,+0.581s,31
18,9,Lance Stroll,Aston Martin Mercedes,+0.590s,31
11,10,Sergio Perez,Red Bull Racing Honda,+0.679s,28
10,11,Pierre Gasly,AlphaTauri Honda,+0.721s,34
4,12,Lando Norris,McLaren Mercedes,+0.920s,28
63,13,George Russell,Williams Mercedes,+1.139s,32
22,14,Yuki Tsunoda,AlphaTauri Honda,+1.216s,33
5,15,Sebastian Vettel,Aston Martin Mercedes,+1.237s,32
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.388s,22
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.401s,32
47,18,Mick Schumacher,Haas Ferrari,+1.700s,29
6,19,Nicholas Latifi,Williams Mercedes,+2.018s,31
9,20,Nikita Mazepin,Haas Ferrari,+2.801s,28
