,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,65,1:19.865,209.738,16:36:46
11,2,Sergio Perez,Red Bull Racing Honda,55,1:20.643,207.715,16:23:11
33,3,Max Verstappen,Red Bull Racing Honda,62,1:20.695,207.581,16:32:12
44,4,Lewis Hamilton,Mercedes,47,1:20.933,206.971,16:11:48
14,5,Fernando Alonso,Alpine Renault,66,1:21.032,206.718,16:38:39
16,6,Charles Leclerc,Ferrari,63,1:21.496,205.541,16:34:21
4,7,Lando Norris,McLaren Mercedes,55,1:21.696,205.038,16:23:24
31,8,Esteban Ocon,Alpine Renault,34,1:21.886,204.562,15:54:39
18,9,Lance Stroll,Aston Martin Mercedes,59,1:21.970,204.352,16:29:21
3,10,Daniel Ricciardo,McLaren Mercedes,64,1:21.987,204.310,16:36:04
10,11,Pierre Gasly,AlphaTauri Honda,65,1:22.014,204.243,16:37:28
22,12,Yuki Tsunoda,AlphaTauri Honda,61,1:22.058,204.133,16:32:29
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,60,1:22.167,203.862,16:30:42
55,14,Carlos Sainz,Ferrari,60,1:22.325,203.471,16:30:33
5,15,Sebastian Vettel,Aston Martin Mercedes,60,1:22.416,203.246,16:30:44
63,16,George Russell,Williams Mercedes,60,1:22.654,202.661,16:31:42
47,17,Mick Schumacher,Haas Ferrari,61,1:22.755,202.414,16:33:25
6,18,Nicholas Latifi,Williams Mercedes,60,1:23.155,201.440,16:32:01
9,19,Nikita Mazepin,Haas Ferrari,64,1:23.641,200.270,16:38:44
