,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:27.238,1:26.210,1:25.232,16
6,2,Nico Rosberg,Mercedes,1:26.764,1:26.088,1:25.400,19
3,3,Daniel Ricciardo,Red Bull Racing Renault,1:28.053,1:26.613,1:26.285,16
77,4,Valtteri Bottas,Williams Mercedes,1:28.198,1:27.563,1:26.632,17
8,5,Romain Grosjean,Lotus Renault,1:28.472,1:27.258,1:26.960,18
7,6,Kimi Räikkönen,Ferrari,1:28.308,1:27.335,1:27.104,18
14,7,Fernando Alonso,Ferrari,1:28.329,1:27.602,1:27.140,16
22,8,Jenson Button,McLaren Mercedes,1:28.279,1:27.570,1:27.335,18
19,9,Felipe Massa,Williams Mercedes,1:28.061,1:27.016,1:27.402,16
1,10,Sebastian Vettel,Red Bull Racing Renault,1:27.958,1:27.052,DNF,11
27,11,Nico Hulkenberg,Force India Mercedes,1:28.155,1:27.685,,13
11,12,Sergio Perez,Force India Mercedes,1:28.469,1:28.002,,16
26,13,Daniil Kvyat,STR Renault,1:28.074,1:28.039,,12
21,14,Esteban Gutierrez ,Sauber Ferrari,1:28.374,1:28.280,,12
20,15,Kevin Magnussen,McLaren Mercedes,1:28.389,DNF,,10
25,16,Jean-Eric Vergne,STR Renault,1:28.194,,,6
99,17,Adrian Sutil,Sauber Ferrari,1:28.563,,,9
4,18,Max Chilton,Marussia Ferrari,1:29.586,,,6
17,19,Jules Bianchi,Marussia Ferrari,1:30.177,,,6
9,20,Marcus Ericsson,Caterham Renault,1:30.312,,,8
10,21,Kamui Kobayashi,Caterham Renault,1:30.375,,,6
13,NC,Pastor Maldonado,Lotus Renault,DNF,,,2
