,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,52,1:20.143,212.470
1,2,Michael Schumacher,Ferrari,51,1:20.307,212.036
8,3,Fernando Alonso,Renault,42,1:20.476,211.591
4,4,Ralf Schumacher,Williams BMW,8,1:20.798,210.747
20,5,Olivier Panis,Toyota,14,1:20.803,210.734
21,6,Cristiano da Matta,Toyota,22,1:20.935,210.391
17,7,Jenson Button,BAR Honda,7,1:21.300,209.446
3,8,Juan Pablo Montoya,Williams BMW,21,1:21.448,209.065
10,9,Heinz-Harald Frentzen,Sauber Petronas,32,1:21.791,208.189
14,10,Mark Webber,Jaguar Cosworth,20,1:21.967,207.742
16,11,Jacques Villeneuve,BAR Honda,9,1:22.175,207.216
9,12,Nick Heidfeld,Sauber Petronas,34,1:22.568,206.230
5,13,David Coulthard,McLaren Mercedes,10,1:22.577,206.207
12,14,Ralph Firman,Jordan Ford,29,1:22.719,205.853
11,15,Giancarlo Fisichella,Jordan Ford,17,1:22.900,205.404
19,16,Jos Verstappen,Minardi Cosworth,16,1:22.942,205.300
18,17,Justin Wilson,Minardi Cosworth,7,1:23.222,204.609
