,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:17.762,3
2,2,Rubens Barrichello,Ferrari,1:18.020,3
8,3,Fernando Alonso,Renault,1:18.233,3
7,4,Jarno Trulli,Renault,1:18.615,3
17,5,Jenson Button,BAR Honda,1:18.704,3
20,6,Olivier Panis,Toyota,1:18.811,3
4,7,Ralf Schumacher,Williams BMW,1:19.006,3
5,8,David Coulthard,McLaren Mercedes,1:19.128,3
3,9,Juan Pablo Montoya,Williams BMW,1:19.377,3
10,10,Heinz-Harald Frentzen,Sauber Petronas,1:19.427,3
16,11,Jacques Villeneuve,BAR Honda,1:19.563,3
14,12,Mark Webber,Jaguar Cosworth,1:19.615,3
21,13,Cristiano da Matta,Toyota,1:19.623,3
9,14,Nick Heidfeld,Sauber Petronas,1:19.646,3
12,15,Ralph Firman,Jordan Ford,1:20.215,3
15,16,Antonio Pizzonia,Jaguar Cosworth,1:20.308,3
11,17,Giancarlo Fisichella,Jordan Ford,1:20.976,3
18,18,Justin Wilson,Minardi Cosworth,1:22.104,3
19,19,Jos Verstappen,Minardi Cosworth,1:22.237,3
6,20,Kimi Räikkönen,McLaren Mercedes,,2
