,Position,Driver,Car,Time / Gap
4,1,Jean Alesi,Tyrrell Ford,1:28.740
27,2,Ayrton Senna,McLaren Honda,+0.599s
28,3,Gerhard Berger,McLaren Honda,+1.025s
1,4,Alain Prost,Ferrari,+1.750s
3,5,Satoru Nakajima,Tyrrell Ford,+1.893s
20,6,Nelson Piquet,Benetton Ford,+1.978s
5,7,Thierry Boutsen,Williams Renault,+2.250s
6,8,Riccardo Patrese,Williams Renault,+2.323s
23,9,Pierluigi Martini,Minardi Ford,+2.556s
26,10,Philippe Alliot,Ligier Ford,+2.749s
2,11,Nigel Mansell,Ferrari,+2.858s
10,12,Bernd Schneider,Arrows Ford,+3.163s
29,13,Eric Bernard,Lola Lamborghini,+3.240s
8,14,Stefano Modena,Brabham Judd,+3.372s
22,15,Andrea de Cesaris,Dallara Ford,+3.445s
19,16,Alessandro Nannini,Benetton Ford,+3.468s
33,17,Roberto Moreno,Euro Brun Judd,+3.890s
30,18,Aguri Suzuki,Lola Lamborghini,+3.938s
21,19,Gianni Morbidelli,Dallara Ford,+4.037s
36,20,Jyrki Jarvilehto,Onyx Ford,+4.384s
35,21,Stefan Johansson,Onyx Ford,+4.418s
25,22,Nicola Larini,Ligier Ford,+4.474s
12,23,Martin Donnelly,Lotus Lamborghini,+4.689s
14,24,Olivier Grouillard,Osella Ford,+5.011s
24,25,Paolo Barilla,Minardi Ford,+5.014s
16,26,Ivan Capelli,Leyton House Judd,+5.247s
11,27,Derek Warwick,Lotus Lamborghini,+5.404s
15,28,Mauricio Gugelmin,Leyton House Judd,+5.545s
7,29,Gregor Foitek,Brabham Judd,+5.605s
9,30,Michele Alboreto,Arrows Ford,+6.634s
