,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,McLaren Honda,34,1:31.050
23,2,Pierluigi Martini,Minardi Ford,66,1:31.568
27,3,Ayrton Senna,McLaren Honda,18,1:32.178
4,4,Jean Alesi,Tyrrell Ford,4,1:32.221
6,5,Riccardo Patrese,Williams Renault,38,1:32.222
29,6,Eric Bernard,Lola Lamborghini,66,1:32.681
19,7,Alessandro Nannini,Benetton Ford,67,1:32.694
3,8,Satoru Nakajima,Tyrrell Ford,68,1:32.707
2,9,Nigel Mansell,Ferrari,40,1:32.814
20,10,Nelson Piquet,Benetton Ford,68,1:32.865
5,11,Thierry Boutsen,Williams Renault,33,1:32.915
8,12,Stefano Modena,Brabham Judd,67,1:33.147
1,13,Alain Prost,Ferrari,19,1:33.170
10,14,Bernd Schneider,Arrows Ford,62,1:33.573
30,15,Aguri Suzuki,Lola Lamborghini,48,1:33.819
22,16,Andrea de Cesaris,Dallara Ford,10,1:34.067
7,17,Gregor Foitek,Brabham Judd,36,1:34.156
24,18,Paolo Barilla,Minardi Ford,36,1:34.265
9,19,Michele Alboreto,Arrows Ford,65,1:34.517
14,20,Olivier Grouillard,Osella Ford,29,1:35.350
11,21,Derek Warwick,Lotus Lamborghini,5,1:35.396
33,22,Roberto Moreno,Euro Brun Judd,14,1:35.446
16,23,Ivan Capelli,Leyton House Judd,10,1:35.598
25,24,Nicola Larini,Ligier Ford,3,1:36.971
15,25,Mauricio Gugelmin,Leyton House Judd,56,1:37.058
