,Position,Driver,Car,Laps,Time,Points
6,1,Jacky Ickx,Brabham Ford,14,1:49:55.400,9
7,2,Jackie Stewart,Matra Ford,14,+57.700s,6
10,3,Bruce McLaren,McLaren Ford,14,+201.600s,4
1,4,Graham Hill,Lotus Ford,14,+238.800s,3
26,5,Henri Pescarolo,Matra Ford,14,+491.000s,0
29,6,Richard Attwood,Brabham Ford,13,+1 lap,0
20,7,Kurt  Ahrens ,Brabham Ford,13,+1 lap,0
22,8,Rolf Stommelen,Lotus Ford,13,+1 lap,0
31,9,Peter  Westbury ,Brabham Ford,13,+1 lap,0
30,10,Xavier Perrot,Brabham Ford,13,+1 lap,0
11,11,Jo Siffert,Lotus Ford,12,DNF,0
8,12,Jean-Pierre Beltoise,Matra Ford,12,DNF,0
15,NC,Jackie Oliver,BRM,11,DNF,0
9,NC,Denny Hulme,McLaren Ford,11,DNF,0
2,NC,Jochen Rindt,Lotus Ford,10,DNF,0
28,NC,Francois  Cevert ,Tecno Cosworth,9,DNF,0
27,NC,Johnny  Servoz-Gavin ,Matra Ford,6,DNF,0
16,NC,Jo Bonnier,Lotus Ford,4,DNF,0
17,NC,Piers   Courage,Brabham Ford,1,DNF,0
12,NC,Vic  Elford ,McLaren Ford,0,DNF,0
3,NC,Mario Andretti,Lotus Ford,0,DNF,0
