,Position,Driver,Car,Laps,Time,Points
99,1,Lee Wallard,Kurtis Kraft Offenhauser,200,3:57:38.050,9
83,2,Mike Nazaruk,Kurtis Kraft Offenhauser,200,+107.243s,6
9,3,Jack McGrath,Kurtis Kraft Offenhauser,,SHC,2
57,4,Andy Linden,Sherman Offenhauser,200,OK,3
52,5,Bobby Ball,Schroeder Offenhauser,200,OK,2
1,6,Henry Banks,Moore Offenhauser,200,OK,0
68,7,Carl Forberg,Kurtis Kraft Offenhauser,193,+7 laps,0
27,8,Duane Carter,Deidt Offenhauser,180,+20 laps,0
5,9,Tony  Bettenhausen,Deidt Offenhauser,178,DNF,0
18,10,Duke Nalon,Kurtis Kraft Novi,151,DNF,0
69,11,Gene Force,Kurtis Kraft Offenhauser,142,DNF,0
25,12,Sam Hanks,Kurtis Kraft Offenhauser,135,DNF,0
10,13,Bill Schindler,Kurtis Kraft Offenhauser,129,DNF,0
16,14,Mauri  Rose,Deidt Offenhauser,126,DNF,0
2,15,Walt  Faulkner,Kuzma Offenhauser,123,DNF,0
76,16,Jimmy Davies,Pawl Offenhauser,110,DNF,0
59,17,Fred Agabashian,Kurtis Kraft Offenhauser,109,DNF,0
73,18,Carl Scarborough,Kurtis Kraft Offenhauser,100,DNF,0
71,19,Bill  Mackey,Hall Offenhauser,97,DNF,0
8,20,Chuck  Stevenson,Marchese Offenhauser,93,DNF,0
3,21,Johnnie  Parsons,Kurtis Kraft Offenhauser,87,DNF,0
4,22,Cecil  Green,Kurtis Kraft Offenhauser,80,DNF,0
98,23,Troy Ruttman,Kurtis Kraft Offenhauser,78,DNF,0
6,24,Duke Dinsmore,Schroeder Offenhauser,73,DNF,0
32,25,Chet  Miller,Kurtis Kraft Novi,56,DNF,0
44,26,Walt Brown,Kurtis Kraft Offenhauser,55,DNF,0
48,27,Rodger Ward,Bromme Offenhauser,34,DNF,0
23,28,Cliff Griffith,Kurtis Kraft Offenhauser,30,DNF,0
81,29,Bill  Vukovich ,Trevis Offenhauser,29,DNF,0
22,30,George Connor,Lesovsky Offenhauser,29,DNF,0
19,31,Mack Hellings,Deidt Offenhauser,18,DNF,0
12,32,Johnny McDowell,Maserati-Offenhauser,15,DNF,0
26,33,Joe James,Watson Offenhauser,8,DNF,0
