,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:33.448,24
44,2,Lewis Hamilton,Mercedes,+0.335s,21
33,3,Max Verstappen,Red Bull Racing Honda,+0.432s,23
11,4,Sergio Perez,Red Bull Racing Honda,+0.745s,25
31,5,Esteban Ocon,Alpine Renault,+0.881s,25
3,6,Daniel Ricciardo,McLaren Mercedes,+1.196s,24
14,7,Fernando Alonso,Alpine Renault,+1.245s,21
10,8,Pierre Gasly,AlphaTauri Honda,+1.251s,20
4,9,Lando Norris,McLaren Mercedes,+1.259s,21
22,10,Yuki Tsunoda,AlphaTauri Honda,+1.399s,22
16,11,Charles Leclerc,Ferrari,+1.502s,24
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.668s,23
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.687s,20
18,14,Lance Stroll,Aston Martin Mercedes,+1.827s,23
5,15,Sebastian Vettel,Aston Martin Mercedes,+1.841s,16
55,16,Carlos Sainz,Ferrari,+1.894s,24
6,17,Nicholas Latifi,Williams Mercedes,+2.164s,22
9,18,Nikita Mazepin,Haas Ferrari,+3.203s,24
47,19,Mick Schumacher,Haas Ferrari,+3.881s,14
45,20,Roy Nissany,Williams Mercedes,+4.433s,16
