,Position,Driver,Car,Time
33,1,Max Verstappen,Red Bull Racing Honda,1:29.990
44,2,Lewis Hamilton,Mercedes,1:30.248
77,3,Valtteri Bottas,Mercedes,1:30.376
11,4,Sergio Perez,Red Bull Racing Honda,1:30.445
55,5,Carlos Sainz,Ferrari,1:30.840
10,6,Pierre Gasly,AlphaTauri Honda,1:30.868
16,7,Charles Leclerc,Ferrari,1:30.987
4,8,Lando Norris,McLaren Mercedes,1:31.252
14,9,Fernando Alonso,Alpine Renault,1:31.340
3,10,Daniel Ricciardo,McLaren Mercedes,1:31.382
31,11,Esteban Ocon,Alpine Renault,1:31.736
5,12,Sebastian Vettel,Aston Martin Mercedes,1:31.767
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:31.813
63,14,George Russell,Williams Mercedes,1:32.065
47,15,Mick Schumacher,Haas Ferrari,
6,16,Nicholas Latifi,Williams Mercedes,1:33.062
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:33.354
9,18,Nikita Mazepin,Haas Ferrari,1:33.554
18,19,Lance Stroll,Aston Martin Mercedes,2:12.584
