,Position,Driver,Car,Lap,Time,Avg Speed
12,1,Nico Hulkenberg,Force India Mercedes,52,1:51.033,164.480
14,2,Kamui Kobayashi,Sauber Ferrari,52,1:51.690,163.513
1,3,Sebastian Vettel,Red Bull Racing Renault,50,1:52.134,162.865
3,4,Jenson Button,McLaren Mercedes,47,1:52.625,162.155
5,5,Fernando Alonso,Ferrari,53,1:52.709,162.034
2,6,Mark Webber,Red Bull Racing Renault,51,1:52.778,161.935
11,7,Paul di Resta,Force India Mercedes,54,1:52.931,161.716
17,8,Jean-Eric Vergne,STR Ferrari,28,1:53.510,160.891
19,9,Bruno Senna,Williams Renault,27,1:53.610,160.749
15,10,Sergio Perez,Sauber Ferrari,53,1:53.726,160.585
9,11,Kimi Räikkönen,Lotus Renault,53,1:53.785,160.502
8,12,Nico Rosberg,Mercedes,55,1:53.897,160.344
6,13,Felipe Massa,Ferrari,47,1:53.997,160.204
10,14,Romain Grosjean,Lotus Renault,56,1:54.123,160.027
16,15,Daniel Ricciardo,STR Ferrari,53,1:54.267,159.825
18,16,Pastor Maldonado,Williams Renault,27,1:55.120,158.641
21,17,Vitaly Petrov,Caterham Renault,44,1:55.140,158.613
20,18,Heikki Kovalainen,Caterham Renault,48,1:55.233,158.485
4,19,Lewis Hamilton,McLaren Mercedes,14,1:55.541,158.063
7,20,Michael Schumacher,Mercedes,26,1:56.047,157.374
24,21,Timo Glock,Marussia Cosworth,30,1:56.057,157.360
25,22,Charles Pic,Marussia Cosworth,37,1:56.486,156.781
22,23,Pedro de la Rosa,HRT Cosworth,48,1:57.671,155.202
23,24,Narain Karthikeyan,HRT Cosworth,26,1:58.507,154.107
