,Position,Driver,Car,Time
4,1,Lewis Hamilton,McLaren Mercedes,1:46.362
18,2,Pastor Maldonado,Williams Renault,1:46.804
1,3,Sebastian Vettel,Red Bull Racing Renault,1:46.905
3,4,Jenson Button,McLaren Mercedes,1:46.939
5,5,Fernando Alonso,Ferrari,1:47.216
11,6,Paul di Resta,Force India Mercedes,1:47.241
2,7,Mark Webber,Red Bull Racing Renault,1:47.475
10,8,Romain Grosjean,Lotus Renault,1:47.788
7,9,Michael Schumacher,Mercedes,
8,10,Nico Rosberg,Mercedes,
12,11,Nico Hulkenberg,Force India Mercedes,1:47.975
9,12,Kimi Räikkönen,Lotus Renault,1:48.261
6,13,Felipe Massa,Ferrari,1:48.344
15,14,Sergio Perez,Sauber Ferrari,1:48.505
16,15,Daniel Ricciardo,STR Ferrari,1:48.774
17,16,Jean-Eric Vergne,STR Ferrari,1:48.849
14,17,Kamui Kobayashi,Sauber Ferrari,1:49.933
21,18,Vitaly Petrov,Caterham Renault,1:50.846
20,19,Heikki Kovalainen,Caterham Renault,1:51.137
24,20,Timo Glock,Marussia Cosworth,1:51.370
25,21,Charles Pic,Marussia Cosworth,1:51.762
19,22,Bruno Senna,Williams Renault,
23,23,Narain Karthikeyan,HRT Cosworth,1:52.372
22,24,Pedro de la Rosa,HRT Cosworth,1:53.355
