,Position,Driver,Car,Lap,Time
2,1,Alain Prost,Williams Renault,42,1:26.128
5,2,Michael Schumacher,Benetton Ford,41,1:26.612
8,3,Ayrton Senna,McLaren Ford,28,1:27.490
11,4,Alessandro Zanardi,Lotus Ford,41,1:27.690
27,5,Jean Alesi,Ferrari,30,1:28.317
12,6,Johnny Herbert,Lotus Ford,45,1:28.324
25,7,Martin Brundle,Ligier Renault,45,1:28.430
0,8,Damon Hill,Williams Renault,19,1:28.590
19,9,Philippe Alliot,Larrousse Lamborghini,48,1:28.636
7,10,Michael Andretti,McLaren Ford,30,1:28.803
9,11,Derek Warwick,Footwork Mugen Honda,28,1:28.874
30,12,Jyrki Jarvilehto,Sauber,44,1:29.092
29,13,Karl Wendlinger,Sauber,30,1:29.304
10,14,Aguri Suzuki,Footwork Mugen Honda,29,1:29.332
24,15,Fabrizio Barbazza,Minardi Ford,39,1:29.646
23,16,Christian Fittipaldi,Minardi Ford,22,1:30.438
20,17,Erik Comas,Larrousse Lamborghini,15,1:30.983
22,18,Luca Badoer,Lola Ferrari,46,1:31.751
14,19,Rubens Barrichello,Jordan Hart,15,1:32.432
3,20,Ukyo Katayama,Tyrrell Yamaha,19,1:33.541
4,21,Andrea de Cesaris,Tyrrell Yamaha,18,1:34.556
28,22,Gerhard Berger,Ferrari,8,1:42.881
15,23,Thierry Boutsen,Jordan Hart,1,12:17.162
