,Position,Driver,Car,Time / Gap
0,1,Damon Hill,Williams Renault,1:22.524
2,2,Alain Prost,Williams Renault,+0.280s
8,3,Ayrton Senna,McLaren Ford,+0.726s
5,4,Michael Schumacher,Benetton Ford,+1.789s
29,5,Karl Wendlinger,Sauber,+2.526s
12,6,Johnny Herbert,Lotus Ford,+2.544s
7,7,Michael Andretti,McLaren Ford,+2.819s
27,8,Jean Alesi,Ferrari,+2.877s
14,9,Rubens Barrichello,Jordan Hart,+2.906s
26,10,Mark Blundell,Ligier Renault,+2.918s
9,11,Derek Warwick,Footwork Mugen Honda,+3.084s
10,12,Aguri Suzuki,Footwork Mugen Honda,+3.242s
25,13,Martin Brundle,Ligier Renault,+3.383s
30,14,Jyrki Jarvilehto,Sauber,+3.560s
11,15,Alessandro Zanardi,Lotus Ford,+3.754s
20,16,Erik Comas,Larrousse Lamborghini,+3.889s
4,17,Andrea de Cesaris,Tyrrell Yamaha,+4.011s
15,18,Thierry Boutsen,Jordan Hart,+4.106s
19,19,Philippe Alliot,Larrousse Lamborghini,+4.461s
24,20,Fabrizio Barbazza,Minardi Ford,+4.521s
22,21,Luca Badoer,Lola Ferrari,+4.884s
28,22,Gerhard Berger,Ferrari,+4.911s
21,23,Michele Alboreto,Lola Ferrari,+5.046s
23,24,Christian Fittipaldi,Minardi Ford,+5.322s
6,25,Riccardo Patrese,Benetton Ford,+6.787s
3,26,Ukyo Katayama,Tyrrell Yamaha,+7.286s
