,Position,Driver,Car,Time
2,1,Alain Prost,Williams Renault,1:22.070
0,2,Damon Hill,Williams Renault,1:22.168
5,3,Michael Schumacher,Benetton Ford,1:23.919
8,4,Ayrton Senna,McLaren Ford,1:24.007
29,5,Karl Wendlinger,Sauber,1:24.720
7,6,Michael Andretti,McLaren Ford,1:24.793
26,7,Mark Blundell,Ligier Renault,1:24.804
28,8,Gerhard Berger,Ferrari,1:24.822
27,9,Jean Alesi,Ferrari,1:24.829
25,10,Martin Brundle,Ligier Renault,1:24.893
6,11,Riccardo Patrese,Benetton Ford,1:24.896
12,12,Johnny Herbert,Lotus Ford,1:25.115
14,13,Rubens Barrichello,Jordan Hart,1:25.169
19,14,Philippe Alliot,Larrousse Lamborghini,1:25.482
9,15,Derek Warwick,Footwork Mugen Honda,1:25.901
30,16,Jyrki Jarvilehto,Sauber,1:25.941
20,17,Erik Comas,Larrousse Lamborghini,1:26.279
4,18,Andrea de Cesaris,Tyrrell Yamaha,1:26.429
15,19,Thierry Boutsen,Jordan Hart,1:26.436
11,20,Alessandro Zanardi,Lotus Ford,1:26.465
10,21,Aguri Suzuki,Footwork Mugen Honda,1:26.657
3,22,Ukyo Katayama,Tyrrell Yamaha,1:26.900
23,23,Christian Fittipaldi,Minardi Ford,1:27.277
22,24,Luca Badoer,Lola Ferrari,1:27.371
24,25,Fabrizio Barbazza,Minardi Ford,1:27.602
