,Position,Driver,Car,Time / Gap
0,1,Damon Hill,Williams Renault,1:23.604
5,2,Michael Schumacher,Benetton Ford,+1.121s
8,3,Ayrton Senna,McLaren Ford,+1.647s
29,4,Karl Wendlinger,Sauber,+1.999s
28,5,Gerhard Berger,Ferrari,+2.061s
26,6,Mark Blundell,Ligier Renault,+2.344s
6,7,Riccardo Patrese,Benetton Ford,+2.377s
12,8,Johnny Herbert,Lotus Ford,+2.694s
27,9,Jean Alesi,Ferrari,+2.731s
30,10,Jyrki Jarvilehto,Sauber,+2.780s
9,11,Derek Warwick,Footwork Mugen Honda,+2.974s
19,12,Philippe Alliot,Larrousse Lamborghini,+2.991s
20,13,Erik Comas,Larrousse Lamborghini,+3.349s
24,14,Fabrizio Barbazza,Minardi Ford,+3.396s
4,15,Andrea de Cesaris,Tyrrell Yamaha,+3.470s
10,16,Aguri Suzuki,Footwork Mugen Honda,+3.599s
22,17,Luca Badoer,Lola Ferrari,+3.600s
23,18,Christian Fittipaldi,Minardi Ford,+3.655s
7,19,Michael Andretti,McLaren Ford,+3.679s
15,20,Thierry Boutsen,Jordan Hart,+3.708s
14,21,Rubens Barrichello,Jordan Hart,+3.724s
25,22,Martin Brundle,Ligier Renault,+3.735s
3,23,Ukyo Katayama,Tyrrell Yamaha,+3.814s
11,24,Alessandro Zanardi,Lotus Ford,+3.838s
21,25,Michele Alboreto,Lola Ferrari,+5.036s
2,26,Alain Prost,Williams Renault,+347.401s
