,Position,Driver,Car,Lap,Time
19,1,Michael Schumacher,Benetton Ford,68,1:16.078
2,2,Gerhard Berger,McLaren Honda,69,1:16.807
1,3,Ayrton Senna,McLaren Honda,15,1:17.818
5,4,Nigel Mansell,Williams Renault,15,1:17.823
20,5,Martin Brundle,Benetton Ford,66,1:17.877
6,6,Riccardo Patrese,Williams Renault,50,1:18.069
25,7,Thierry Boutsen,Ligier Renault,62,1:18.398
12,8,Johnny Herbert,Lotus Ford,77,1:18.572
32,9,Stefano Modena,Jordan Yamaha,68,1:18.888
11,10,Mika Hakkinen,Lotus Ford,69,1:18.950
23,11,Christian Fittipaldi,Minardi Lamborghini,70,1:18.956
10,12,Aguri Suzuki,Footwork Mugen Honda,60,1:19.092
27,13,Jean Alesi,Ferrari,65,1:19.119
28,14,Nicola Larini,Ferrari,75,1:19.202
21,15,Jyrki Jarvilehto,Dallara Ferrari,65,1:19.407
16,16,Jan Lammers,March Ilmor,34,1:19.568
24,17,Gianni Morbidelli,Minardi Lamborghini,78,1:19.737
29,18,Bertrand Gachot,Venturi Lamborghini,48,1:19.895
4,19,Andrea de Cesaris,Tyrrell Ilmor,29,1:20.607
17,20,Emanuele Naspetti,March Ilmor,41,1:21.053
30,21,Ukyo Katayama,Venturi Lamborghini,28,1:21.502
33,22,Mauricio Gugelmin,Jordan Yamaha,7,1:22.318
26,23,Erik Comas,Ligier Renault,3,1:24.629
