,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:13.997
1,2,Ayrton Senna,McLaren Honda,+0.621s
6,3,Riccardo Patrese,Williams Renault,+0.898s
2,4,Gerhard Berger,McLaren Honda,+1.080s
19,5,Michael Schumacher,Benetton Ford,+1.182s
12,6,Johnny Herbert,Lotus Ford,+2.581s
27,7,Jean Alesi,Ferrari,+2.641s
20,8,Martin Brundle,Benetton Ford,+2.916s
4,9,Andrea de Cesaris,Tyrrell Ilmor,+3.000s
9,10,Michele Alboreto,Footwork Mugen Honda,+3.052s
22,11,Pierluigi Martini,Dallara Ferrari,+3.206s
11,12,Mika Hakkinen,Lotus Ford,+3.264s
32,13,Stefano Modena,Jordan Yamaha,+3.577s
29,14,Bertrand Gachot,Venturi Lamborghini,+3.650s
23,15,Christian Fittipaldi,Minardi Lamborghini,+3.767s
17,16,Emanuele Naspetti,March Ilmor,+3.775s
21,17,Jyrki Jarvilehto,Dallara Ferrari,+3.998s
24,18,Gianni Morbidelli,Minardi Lamborghini,+4.012s
26,19,Erik Comas,Ligier Renault,+4.081s
25,20,Thierry Boutsen,Ligier Renault,+4.200s
10,21,Aguri Suzuki,Footwork Mugen Honda,+4.328s
3,22,Olivier Grouillard,Tyrrell Ilmor,+4.575s
33,23,Mauricio Gugelmin,Jordan Yamaha,+4.600s
16,24,Jan Lammers,March Ilmor,+4.740s
28,25,Nicola Larini,Ferrari,+4.779s
30,26,Ukyo Katayama,Venturi Lamborghini,+6.077s
