,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Renault,1:13.732
1,2,Ayrton Senna,McLaren Honda,1:14.202
6,3,Riccardo Patrese,Williams Renault,1:14.370
2,4,Gerhard Berger,McLaren Honda,1:15.114
19,5,Michael Schumacher,Benetton Ford,1:15.210
27,6,Jean Alesi,Ferrari,1:16.091
4,7,Andrea de Cesaris,Tyrrell Ilmor,1:16.440
20,8,Martin Brundle,Benetton Ford,1:16.562
26,9,Erik Comas,Ligier Renault,1:16.727
11,10,Mika Hakkinen,Lotus Ford,1:16.863
9,11,Michele Alboreto,Footwork Mugen Honda,1:16.937
12,12,Johnny Herbert,Lotus Ford,1:16.944
3,13,Olivier Grouillard,Tyrrell Ilmor,1:17.037
22,14,Pierluigi Martini,Dallara Ferrari,1:17.047
32,15,Stefano Modena,Jordan Yamaha,1:17.231
24,16,Gianni Morbidelli,Minardi Lamborghini,1:17.333
23,17,Christian Fittipaldi,Minardi Lamborghini,1:17.367
10,18,Aguri Suzuki,Footwork Mugen Honda,1:17.409
28,19,Nicola Larini,Ferrari,1:17.465
33,20,Mauricio Gugelmin,Jordan Yamaha,1:17.805
29,21,Bertrand Gachot,Venturi Lamborghini,1:17.808
25,22,Thierry Boutsen,Ligier Renault,1:17.957
17,23,Emanuele Naspetti,March Ilmor,1:18.138
21,24,Jyrki Jarvilehto,Dallara Ferrari,1:18.565
16,25,Jan Lammers,March Ilmor,1:18.843
30,26,Ukyo Katayama,Venturi Lamborghini,1:18.862
