,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:14.094
1,2,Ayrton Senna,McLaren Honda,+0.413s
2,3,Gerhard Berger,McLaren Honda,+1.103s
6,4,Riccardo Patrese,Williams Renault,+1.143s
19,5,Michael Schumacher,Benetton Ford,+2.324s
12,6,Johnny Herbert,Lotus Ford,+2.482s
4,7,Andrea de Cesaris,Tyrrell Ilmor,+2.564s
27,8,Jean Alesi,Ferrari,+2.611s
11,9,Mika Hakkinen,Lotus Ford,+3.024s
20,10,Martin Brundle,Benetton Ford,+3.125s
25,11,Thierry Boutsen,Ligier Renault,+3.182s
9,12,Michele Alboreto,Footwork Mugen Honda,+3.254s
10,13,Aguri Suzuki,Footwork Mugen Honda,+3.305s
32,14,Stefano Modena,Jordan Yamaha,+3.379s
22,15,Pierluigi Martini,Dallara Ferrari,+3.451s
29,16,Bertrand Gachot,Venturi Lamborghini,+3.464s
23,17,Christian Fittipaldi,Minardi Lamborghini,+3.474s
26,18,Erik Comas,Ligier Renault,+3.528s
3,19,Olivier Grouillard,Tyrrell Ilmor,+3.575s
33,20,Mauricio Gugelmin,Jordan Yamaha,+4.345s
28,21,Nicola Larini,Ferrari,+4.410s
17,22,Emanuele Naspetti,March Ilmor,+4.583s
24,23,Gianni Morbidelli,Minardi Lamborghini,+4.776s
16,24,Jan Lammers,March Ilmor,+4.873s
21,25,Jyrki Jarvilehto,Dallara Ferrari,+5.095s
30,26,Ukyo Katayama,Venturi Lamborghini,+5.165s
