,Position,Driver,Car,Time
12,1,Ayrton Senna,Lotus Renault,1:38.301
5,2,Nigel Mansell,Williams Honda,1:38.839
6,3,Nelson Piquet,Williams Honda,1:39.076
25,4,Rene Arnoux,Ligier Renault,1:39.689
28,5,Stefan Johansson,Ferrari,1:40.312
26,6,Jacques Laffite,Ligier Renault,1:40.676
1,7,Alain Prost,McLaren TAG,1:40.715
7,8,Riccardo Patrese,Brabham BMW,1:40.819
2,9,Keke Rosberg,McLaren TAG,1:40.848
16,10,Eddie  Cheever,Lola Hart,1:41.540
27,11,Michele Alboreto,Ferrari,1:41.606
20,12,Gerhard Berger,Benetton BMW,1:41.836
18,13,Thierry Boutsen,Arrows BMW,1:42.279
11,14,Johnny Dumfries,Lotus Renault,1:42.511
8,15,Derek Warwick,Brabham BMW,1:42.558
3,16,Martin Brundle,Tyrrell Renault,1:42.815
19,17,Teo Fabi,Benetton BMW,1:43.658
4,18,Philippe Streiff,Tyrrell Renault,1:43.796
17,19,Christian Danner,Arrows BMW,1:44.259
14,20,Jonathan  Palmer,Zakspeed,1:44.401
15,21,Alan  Jones,Lola Hart,1:44.450
21,22,Piercarlo Ghinzani,Osella Alfa Romeo,1:45.059
23,23,Andrea de Cesaris,Minardi Motori Moderni,1:46.705
24,24,Alessandro Nannini,Minardi Motori Moderni,1:47.230
22,25,Allen Berg,Osella Alfa Romeo,1:48.682
29,26,Huub Rothengatter,Zakspeed,1:49.680
