,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:14.411
11,2,Sergio Perez,Red Bull Racing Honda,1:14.446
33,3,Max Verstappen,Red Bull Racing Honda,1:14.498
16,4,Charles Leclerc,Ferrari,1:14.740
10,5,Pierre Gasly,AlphaTauri Honda,1:14.790
3,6,Daniel Ricciardo,McLaren Mercedes,1:14.826
4,7,Lando Norris,McLaren Mercedes,1:14.875
77,8,Valtteri Bottas,Mercedes,1:14.898
31,9,Esteban Ocon,Alpine Renault,1:15.210
18,10,Lance Stroll,Aston Martin Mercedes,
55,11,Carlos Sainz,Ferrari,1:15.199
63,12,George Russell,Williams Mercedes,1:15.261
5,13,Sebastian Vettel,Aston Martin Mercedes,1:15.394
6,14,Nicholas Latifi,Williams Mercedes,1:15.593
14,15,Fernando Alonso,Alpine Renault,1:15.593
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:15.974
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:16.122
47,18,Mick Schumacher,Haas Ferrari,1:16.279
9,19,Nikita Mazepin,Haas Ferrari,1:16.797
22,20,Yuki Tsunoda,AlphaTauri Honda,
