,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:14.823,1:14.817,1:14.411,23
11,2,Sergio Perez,Red Bull Racing Honda,1:15.395,1:14.716,1:14.446,18
33,3,Max Verstappen,Red Bull Racing Honda,1:15.109,1:14.884,1:14.498,20
16,4,Charles Leclerc,Ferrari,1:15.413,1:14.808,1:14.740,19
10,5,Pierre Gasly,AlphaTauri Honda,1:15.548,1:14.927,1:14.790,21
3,6,Daniel Ricciardo,McLaren Mercedes,1:15.669,1:15.033,1:14.826,21
4,7,Lando Norris,McLaren Mercedes,1:15.009,1:14.718,1:14.875,15
77,8,Valtteri Bottas,Mercedes,1:14.672,1:14.905,1:14.898,22
31,9,Esteban Ocon,Alpine Renault,1:15.385,1:15.117,1:15.210,20
18,10,Lance Stroll,Aston Martin Mercedes,1:15.522,1:15.138,DNF,20
55,11,Carlos Sainz,Ferrari,1:15.406,1:15.199,,16
63,12,George Russell,Williams Mercedes,1:15.826,1:15.261,,16
5,13,Sebastian Vettel,Aston Martin Mercedes,1:15.459,1:15.394,,14
6,14,Nicholas Latifi,Williams Mercedes,1:15.653,1:15.593,,14
14,15,Fernando Alonso,Alpine Renault,1:15.832,1:15.593,,14
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:15.974,,,10
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:16.122,,,9
47,18,Mick Schumacher,Haas Ferrari,1:16.279,,,12
9,19,Nikita Mazepin,Haas Ferrari,1:16.797,,,12
22,RT,Yuki Tsunoda,AlphaTauri Honda,DNF,,,2
