,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:16.564,23
44,2,Lewis Hamilton,Mercedes,+0.041s,25
33,3,Max Verstappen,Red Bull Racing Honda,+0.058s,21
10,4,Pierre Gasly,AlphaTauri Honda,+0.324s,21
55,5,Carlos Sainz,Ferrari,+0.324s,26
16,6,Charles Leclerc,Ferrari,+0.345s,13
14,7,Fernando Alonso,Alpine Renault,+0.893s,23
18,8,Lance Stroll,Aston Martin Mercedes,+0.925s,19
6,9,Nicholas Latifi,Williams Mercedes,+1.175s,24
3,10,Daniel Ricciardo,McLaren Mercedes,+1.205s,23
63,11,George Russell,Williams Mercedes,+1.302s,25
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.319s,16
4,13,Lando Norris,McLaren Mercedes,+1.371s,16
5,14,Sebastian Vettel,Aston Martin Mercedes,+1.420s,23
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.494s,24
11,16,Sergio Perez,Red Bull Racing Honda,+1.664s,15
31,17,Esteban Ocon,Alpine Renault,+1.796s,20
9,18,Nikita Mazepin,Haas Ferrari,+2.259s,22
47,19,Mick Schumacher,Haas Ferrari,+2.916s,18
22,20,Yuki Tsunoda,AlphaTauri Honda,+3.217s,11
