,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Sebastian Vettel,RBR Renault,71,1:15.192,159.910
6,2,Mark Webber,RBR Renault,63,1:15.318,159.643
11,3,Robert Kubica,Renault,72,1:15.353,159.568
7,4,Felipe Massa,Ferrari,68,1:15.503,159.251
3,5,Michael Schumacher,Mercedes,71,1:15.580,159.089
8,6,Fernando Alonso,Ferrari,73,1:15.905,158.408
4,7,Nico Rosberg,Mercedes,65,1:15.959,158.295
14,8,Adrian Sutil,Force India Mercedes,72,1:15.963,158.287
15,9,Vitantonio Liuzzi,Force India Mercedes,72,1:16.142,157.915
2,10,Lewis Hamilton,McLaren Mercedes,68,1:16.219,157.755
17,11,Jaime Alguersuari,STR Ferrari,73,1:16.381,157.421
12,12,Vitaly Petrov,Renault,60,1:16.405,157.371
16,13,Sebastien Buemi,STR Ferrari,68,1:16.493,157.190
19,14,Heikki Kovalainen,Lotus Cosworth,57,1:18.401,153.365
23,15,Kamui Kobayashi,Sauber Ferrari,24,1:18.775,152.637
9,16,Rubens Barrichello,Williams Cosworth,22,1:19.074,152.060
22,17,Pedro de la Rosa,Sauber Ferrari,21,1:19.270,151.684
18,18,Jarno Trulli,Lotus Cosworth,69,1:19.340,151.550
20,19,Karun Chandhok,HRT Cosworth,69,1:19.553,151.144
21,20,Bruno Senna,HRT Cosworth,58,1:20.130,150.056
24,21,Timo Glock,Virgin Cosworth,11,1:20.775,148.857
25,22,Lucas di Grassi,Virgin Cosworth,19,1:22.255,146.179
1,23,Jenson Button,McLaren Mercedes,2,2:14.285,89.540
