,Position,Driver,Car,Laps,Time,Points
6,1,David Coulthard,Williams Renault,71,1:41:52.145,10
1,2,Michael Schumacher,Benetton Renault,71,+7.248s,6
5,3,Damon Hill,Williams Renault,71,+22.121s,4
28,4,Gerhard Berger,Ferrari,71,+84.879s,3
27,5,Jean Alesi,Ferrari,71,+85.429s,2
30,6,Heinz-Harald Frentzen,Sauber Ford,70,+1 lap,1
2,7,Johnny Herbert,Benetton Renault,70,+1 lap,0
25,8,Martin Brundle,Ligier Mugen Honda,70,+1 lap,0
7,9,Mark Blundell,McLaren Mercedes,70,+1 lap,0
15,10,Eddie Irvine,Jordan Peugeot,70,+1 lap,0
14,11,Rubens Barrichello,Jordan Peugeot,70,+1 lap,0
29,12,Jean-Christophe Boullion,Sauber Ford,70,+1 lap,0
4,13,Mika Salo,Tyrrell Yamaha,69,+2 laps,0
24,14,Luca Badoer,Minardi Ford,68,+3 laps,0
10,15,Taki Inoue,Footwork Hart,68,+3 laps,0
21,16,Pedro Diniz,Forti Ford,66,+5 laps,0
22,17,Roberto Moreno,Forti Ford,64,+7 laps,0
17,NC,Andrea Montermini,Pacific Ilmor,53,DNF,0
8,NC,Mika Hakkinen,McLaren Mercedes,44,DNF,0
16,NC,Jean-Denis Deletraz,Pacific Ilmor,14,DNF,0
26,NC,Olivier Panis,Ligier Mugen Honda,10,DNF,0
23,NC,Pedro Lamy,Minardi Ford,7,DNF,0
