,Position,Driver,Car,Lap,Time
6,1,David Coulthard,Williams Renault,2,1:23.220
1,2,Michael Schumacher,Benetton Renault,37,1:23.702
5,3,Damon Hill,Williams Renault,20,1:23.737
25,4,Martin Brundle,Ligier Mugen Honda,58,1:24.427
14,5,Rubens Barrichello,Jordan Peugeot,60,1:24.472
28,6,Gerhard Berger,Ferrari,2,1:24.805
2,7,Johnny Herbert,Benetton Renault,8,1:25.128
30,8,Heinz-Harald Frentzen,Sauber Ford,56,1:25.283
27,9,Jean Alesi,Ferrari,8,1:25.544
7,10,Mark Blundell,McLaren Mercedes,24,1:25.646
8,11,Mika Hakkinen,McLaren Mercedes,18,1:25.690
15,12,Eddie Irvine,Jordan Peugeot,54,1:25.767
26,13,Olivier Panis,Ligier Mugen Honda,4,1:26.123
29,14,Jean-Christophe Boullion,Sauber Ford,47,1:26.193
4,15,Mika Salo,Tyrrell Yamaha,43,1:27.247
10,16,Taki Inoue,Footwork Hart,48,1:27.356
23,17,Pedro Lamy,Minardi Ford,3,1:27.779
17,18,Andrea Montermini,Pacific Ilmor,22,1:27.801
24,19,Luca Badoer,Minardi Ford,32,1:28.043
21,20,Pedro Diniz,Forti Ford,18,1:29.803
22,21,Roberto Moreno,Forti Ford,43,1:31.148
16,22,Jean-Denis Deletraz,Pacific Ilmor,5,1:34.445
