,Position,Driver,Car,Q1,Q2,Q3,Laps
22,1,Jenson Button,Brawn Mercedes,1:20.707,1:20.192,1:20.527,21
15,2,Sebastian Vettel,RBR Renault,1:20.715,1:20.220,1:20.660,15
23,3,Rubens Barrichello,Brawn Mercedes,1:20.808,1:19.954,1:20.762,20
3,4,Felipe Massa,Ferrari,1:20.484,1:20.149,1:20.934,18
14,5,Mark Webber,RBR Renault,1:20.689,1:20.007,1:21.049,17
10,6,Timo Glock,Toyota,1:20.877,1:20.107,1:21.247,25
9,7,Jarno Trulli,Toyota,1:21.189,1:20.420,1:21.254,25
7,8,Fernando Alonso,Renault,1:21.186,1:20.509,1:21.392,20
16,9,Nico Rosberg,Williams Toyota,1:20.745,1:20.256,1:22.558,22
5,10,Robert Kubica,Sauber BMW,1:20.931,1:20.408,1:22.685,15
17,11,Kazuki Nakajima,Williams Toyota,1:20.818,1:20.531,,16
8,12,Nelson Piquet,Renault,1:21.128,1:20.604,,20
6,13,Nick Heidfeld,Sauber BMW,1:21.095,1:20.676,,16
1,14,Lewis Hamilton,McLaren Mercedes,1:20.991,1:20.805,,12
12,15,Sebastien Buemi,STR Ferrari,1:21.033,1:21.067,,15
4,16,Kimi Räikkönen,Ferrari,1:21.291,,,5
11,17,Sebastien Bourdais,STR Ferrari,1:21.300,,,8
2,18,Heikki Kovalainen,McLaren Mercedes,1:21.675,,,10
20,19,Adrian Sutil,Force India Mercedes,1:21.742,,,11
21,20,Giancarlo Fisichella,Force India Mercedes,1:22.204,,,11
