,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
1,1,Max Verstappen,Red Bull Racing RBPT,62,1:13.652,208.173,16:27:18
63,2,George Russell,Mercedes,72,1:13.671,208.119,16:39:43
44,3,Lewis Hamilton,Mercedes,54,1:13.854,207.604,16:13:20
14,4,Fernando Alonso,Alpine Renault,51,1:14.144,206.792,16:10:16
11,5,Sergio Perez,Red Bull Racing RBPT,63,1:14.404,206.069,16:28:38
16,6,Charles Leclerc,Ferrari,62,1:14.413,206.044,16:27:22
55,7,Carlos Sainz,Ferrari,63,1:14.643,205.409,16:28:38
4,8,Lando Norris,McLaren Mercedes,63,1:14.706,205.236,16:28:40
5,9,Sebastian Vettel,Aston Martin Aramco Mercedes,50,1:14.862,204.808,16:10:00
18,10,Lance Stroll,Aston Martin Aramco Mercedes,65,1:15.043,204.314,16:31:12
31,11,Esteban Ocon,Alpine Renault,64,1:15.084,204.203,16:29:57
10,12,Pierre Gasly,AlphaTauri RBPT,65,1:15.165,203.983,16:31:13
47,13,Mick Schumacher,Haas Ferrari,51,1:15.233,203.798,16:11:13
20,14,Kevin Magnussen,Haas Ferrari,53,1:15.369,203.431,16:13:50
23,15,Alexander Albon,Williams Mercedes,65,1:15.534,202.986,16:31:16
3,16,Daniel Ricciardo,McLaren Mercedes,52,1:15.577,202.871,16:12:36
24,17,Guanyu Zhou,Alfa Romeo Ferrari,63,1:15.940,201.901,16:28:48
6,18,Nicholas Latifi,Williams Mercedes,62,1:16.066,201.567,16:28:51
77,19,Valtteri Bottas,Alfa Romeo Ferrari,51,1:16.844,199.526,16:11:00
22,20,Yuki Tsunoda,AlphaTauri RBPT,16,1:17.138,198.765,15:24:18
