,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:12.345,27
55,2,Carlos Sainz,Ferrari,+0.004s,30
44,3,Lewis Hamilton,Mercedes,+0.072s,21
4,4,Lando Norris,McLaren Mercedes,+0.103s,24
63,5,George Russell,Mercedes,+0.310s,27
18,6,Lance Stroll,Aston Martin Aramco Mercedes,+0.401s,28
14,7,Fernando Alonso,Alpine Renault,+0.503s,25
1,8,Max Verstappen,Red Bull Racing RBPT,+0.697s,22
31,9,Esteban Ocon,Alpine Renault,+0.960s,27
3,10,Daniel Ricciardo,McLaren Mercedes,+1.017s,10
22,11,Yuki Tsunoda,AlphaTauri RBPT,+1.074s,19
11,12,Sergio Perez,Red Bull Racing RBPT,+1.148s,23
47,13,Mick Schumacher,Haas Ferrari,+1.259s,27
5,14,Sebastian Vettel,Aston Martin Aramco Mercedes,+1.266s,27
24,15,Guanyu Zhou,Alfa Romeo Ferrari,+1.279s,25
10,16,Pierre Gasly,AlphaTauri RBPT,+1.321s,16
23,17,Alexander Albon,Williams Mercedes,+1.492s,26
77,18,Valtteri Bottas,Alfa Romeo Ferrari,+1.822s,27
20,19,Kevin Magnussen,Haas Ferrari,+1.937s,25
6,20,Nicholas Latifi,Williams Mercedes,+2.452s,24
