,Position,Driver,Car,Time / Gap,Laps
63,1,George Russell,Mercedes,1:12.455,29
44,2,Lewis Hamilton,Mercedes,+0.240s,28
55,3,Carlos Sainz,Ferrari,+0.390s,30
4,4,Lando Norris,McLaren Mercedes,+0.474s,32
3,5,Daniel Ricciardo,McLaren Mercedes,+0.622s,31
16,6,Charles Leclerc,Ferrari,+0.672s,30
11,7,Sergio Perez,Red Bull Racing RBPT,+0.961s,30
14,8,Fernando Alonso,Alpine Renault,+1.178s,31
31,9,Esteban Ocon,Alpine Renault,+1.508s,33
23,10,Alexander Albon,Williams Mercedes,+1.608s,29
47,11,Mick Schumacher,Haas Ferrari,+1.708s,29
18,12,Lance Stroll,Aston Martin Aramco Mercedes,+1.802s,30
20,13,Kevin Magnussen,Haas Ferrari,+1.950s,31
10,14,Pierre Gasly,AlphaTauri RBPT,+2.019s,28
5,15,Sebastian Vettel,Aston Martin Aramco Mercedes,+2.045s,28
24,16,Guanyu Zhou,Alfa Romeo Ferrari,+2.079s,18
22,17,Yuki Tsunoda,AlphaTauri RBPT,+2.175s,31
77,18,Valtteri Bottas,Alfa Romeo Ferrari,+2.240s,22
1,19,Max Verstappen,Red Bull Racing RBPT,+2.259s,7
6,20,Nicholas Latifi,Williams Mercedes,+2.667s,33
