,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen,Red Bull Racing RBPT,1:11.317,1:10.927,1:10.342,12
16,2,Charles Leclerc,Ferrari,1:11.443,1:10.988,1:10.363,18
55,3,Carlos Sainz,Ferrari,1:11.767,1:10.814,1:10.434,18
44,4,Lewis Hamilton,Mercedes,1:11.331,1:11.075,1:10.648,18
11,5,Sergio Perez,Red Bull Racing RBPT,1:11.641,1:11.314,1:11.077,19
63,6,George Russell,Mercedes,1:11.561,1:10.824,1:11.147,18
4,7,Lando Norris,McLaren Mercedes,1:11.556,1:11.116,1:11.174,18
47,8,Mick Schumacher,Haas Ferrari,1:11.741,1:11.420,1:11.442,21
22,9,Yuki Tsunoda,AlphaTauri RBPT,1:11.427,1:11.428,1:12.556,21
18,10,Lance Stroll,Aston Martin Aramco Mercedes,1:11.568,1:11.416,,14
10,11,Pierre Gasly,AlphaTauri RBPT,1:11.705,1:11.512,,15
31,12,Esteban Ocon,Alpine Renault,1:11.748,1:11.605,,12
14,13,Fernando Alonso,Alpine Renault,1:11.667,1:11.613,,11
24,14,Guanyu Zhou,Alfa Romeo Ferrari,1:11.826,1:11.704,,15
23,15,Alexander Albon,Williams Mercedes,1:11.695,1:11.802,,16
77,16,Valtteri Bottas,Alfa Romeo Ferrari,1:11.961,,,9
3,17,Daniel Ricciardo,McLaren Mercedes,1:12.081,,,8
20,18,Kevin Magnussen,Haas Ferrari,1:12.319,,,9
5,19,Sebastian Vettel,Aston Martin Aramco Mercedes,1:12.391,,,8
6,20,Nicholas Latifi,Williams Mercedes,1:13.353,,,5
