,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:12.445
8,2,Ayrton Senna,McLaren Ford,+0.989s
0,3,Damon Hill,Williams Renault,+1.020s
7,4,Mika Hakkinen,McLaren Ford,+1.372s
27,5,Jean Alesi,Ferrari,+2.003s
5,6,Michael Schumacher,Benetton Ford,+2.097s
6,7,Riccardo Patrese,Benetton Ford,+2.310s
9,8,Derek Warwick,Footwork Mugen Honda,+2.343s
28,9,Gerhard Berger,Ferrari,+2.440s
25,10,Martin Brundle,Ligier Renault,+2.818s
29,11,Karl Wendlinger,Sauber,+2.990s
14,12,Rubens Barrichello,Jordan Hart,+3.016s
30,13,Jyrki Jarvilehto,Sauber,+3.042s
10,14,Aguri Suzuki,Footwork Mugen Honda,+3.246s
26,15,Mark Blundell,Ligier Renault,+3.250s
12,16,Johnny Herbert,Lotus Ford,+3.326s
4,17,Andrea de Cesaris,Tyrrell Yamaha,+3.396s
3,18,Ukyo Katayama,Tyrrell Yamaha,+3.875s
11,19,Pedro Lamy,Lotus Ford,+3.968s
24,20,Pierluigi Martini,Minardi Ford,+4.681s
15,21,Emanuele Naspetti,Jordan Hart,+4.876s
21,22,Michele Alboreto,Lola Ferrari,+5.059s
23,23,Christian Fittipaldi,Minardi Ford,+5.080s
19,24,Philippe Alliot,Larrousse Lamborghini,+5.511s
22,25,Luca Badoer,Lola Ferrari,+5.584s
20,26,Erik Comas,Larrousse Lamborghini,
