,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:13.040
7,2,Mika Hakkinen,McLaren Ford,+0.817s
8,3,Ayrton Senna,McLaren Ford,+0.828s
0,4,Damon Hill,Williams Renault,+1.135s
5,5,Michael Schumacher,Benetton Ford,+1.701s
6,6,Riccardo Patrese,Benetton Ford,+2.114s
26,7,Mark Blundell,Ligier Renault,+2.249s
28,8,Gerhard Berger,Ferrari,+2.387s
9,9,Derek Warwick,Footwork Mugen Honda,+2.796s
25,10,Martin Brundle,Ligier Renault,+2.940s
14,11,Rubens Barrichello,Jordan Hart,+3.052s
30,12,Jyrki Jarvilehto,Sauber,+3.252s
24,13,Pierluigi Martini,Minardi Ford,+3.254s
29,14,Karl Wendlinger,Sauber,+3.473s
4,15,Andrea de Cesaris,Tyrrell Yamaha,+3.937s
27,16,Jean Alesi,Ferrari,+4.048s
3,17,Ukyo Katayama,Tyrrell Yamaha,+4.183s
12,18,Johnny Herbert,Lotus Ford,+4.221s
23,19,Christian Fittipaldi,Minardi Ford,+4.400s
20,20,Erik Comas,Larrousse Lamborghini,+4.427s
15,21,Emanuele Naspetti,Jordan Hart,+4.680s
10,22,Aguri Suzuki,Footwork Mugen Honda,+4.774s
11,23,Pedro Lamy,Lotus Ford,+4.831s
19,24,Philippe Alliot,Larrousse Lamborghini,+4.854s
21,25,Michele Alboreto,Lola Ferrari,+5.556s
22,26,Luca Badoer,Lola Ferrari,+6.011s
