,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,68,1:14.859
2,2,Alain Prost,Williams Renault,45,1:15.780
5,3,Michael Schumacher,Benetton Ford,56,1:16.201
26,4,Mark Blundell,Ligier Renault,47,1:16.793
27,5,Jean Alesi,Ferrari,51,1:16.806
14,6,Rubens Barrichello,Jordan Hart,39,1:17.114
6,7,Riccardo Patrese,Benetton Ford,32,1:17.340
25,8,Martin Brundle,Ligier Renault,40,1:17.638
29,9,Karl Wendlinger,Sauber,40,1:17.694
11,10,Pedro Lamy,Lotus Ford,59,1:17.758
7,11,Mika Hakkinen,McLaren Ford,31,1:17.992
30,12,Jyrki Jarvilehto,Sauber,47,1:18.069
9,13,Derek Warwick,Footwork Mugen Honda,60,1:18.134
4,14,Andrea de Cesaris,Tyrrell Yamaha,53,1:18.290
8,15,Ayrton Senna,McLaren Ford,17,1:18.365
23,16,Christian Fittipaldi,Minardi Ford,68,1:18.581
19,17,Philippe Alliot,Larrousse Lamborghini,42,1:18.769
24,18,Pierluigi Martini,Minardi Ford,53,1:18.806
12,19,Johnny Herbert,Lotus Ford,31,1:18.961
20,20,Erik Comas,Larrousse Lamborghini,43,1:19.014
28,21,Gerhard Berger,Ferrari,31,1:19.568
22,22,Luca Badoer,Lola Ferrari,49,1:19.602
10,23,Aguri Suzuki,Footwork Mugen Honda,22,1:20.446
21,24,Michele Alboreto,Lola Ferrari,38,1:21.270
3,25,Ukyo Katayama,Tyrrell Yamaha,5,1:21.563
15,26,Emanuele Naspetti,Jordan Hart,4,1:22.756
