,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,36,1:46.409,236.957,16:23:16
77,2,Valtteri Bottas,Mercedes,27,1:46.465,236.832,16:06:50
44,3,Lewis Hamilton,Mercedes,24,1:46.580,236.577,16:01:24
16,4,Charles Leclerc,Ferrari,23,1:46.664,236.390,15:59:31
23,5,Alexander Albon,Red Bull Racing Honda,41,1:47.507,234.537,16:33:05
99,6,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,31,1:47.560,234.421,16:15:06
26,7,Daniil Kvyat,Scuderia Toro Rosso Honda,26,1:48.143,233.157,16:05:50
4,8,Lando Norris,McLaren Renault,21,1:48.321,232.774,15:56:20
27,9,Nico Hulkenberg,Renault,34,1:48.349,232.714,16:20:45
18,10,Lance Stroll,Racing Point BWT Mercedes,34,1:48.357,232.697,16:20:46
20,11,Kevin Magnussen,Haas Ferrari,33,1:48.677,232.012,16:19:00
7,12,Kimi Räikkönen,Alfa Romeo Racing Ferrari,37,1:48.753,231.850,16:26:54
11,13,Sergio Perez,Racing Point BWT Mercedes,29,1:48.781,231.790,16:11:09
63,14,George Russell,Williams Mercedes,34,1:48.860,231.622,16:21:15
88,15,Robert Kubica,Williams Mercedes,33,1:49.220,230.858,16:19:34
8,16,Romain Grosjean,Haas Ferrari,18,1:49.274,230.744,15:50:57
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,21,1:49.700,229.848,15:56:33
3,18,Daniel Ricciardo,Renault,21,1:50.451,228.285,15:56:28
