,Position,Driver,Car,Time
1,1,Jackie Stewart,Tyrrell Ford,1:17.000
6,2,Clay Regazzoni,Ferrari,1:17.300
8,3,Emerson Fittipaldi,Lotus Ford,1:17.400
17,4,Mike Hailwood,Surtees Ford,1:17.400
12,5,Denny Hulme,McLaren Ford,1:17.400
7,6,Mario Andretti,Ferrari,1:17.500
5,7,Jacky Ickx,Ferrari,1:17.700
2,8,Francois  Cevert ,Tyrrell Ford,1:17.800
3,9,Ronnie Peterson,March Ford,1:17.800
16,10,Tim   Schenken,Surtees Ford,1:17.800
10,11,Jean-Pierre Beltoise,BRM,1:17.900
14,12,Peter   Revson,McLaren Ford,1:18.000
15,13,Chris Amon,Matra,1:18.000
19,14,Graham Hill,Brabham Ford,1:18.100
20,15,Carlos Reutemann,Brabham Ford,1:18.200
23,16,Howden  Ganley ,BRM,1:18.300
26,17,Dave Charlton,Lotus Ford,1:18.500
11,18,Peter  Gethin ,BRM,1:18.700
9,19,Dave  Walker ,Lotus Ford,1:18.700
18,20,Andrea de Adamich ,Surtees Ford,1:18.900
4,21,Niki Lauda,March Ford,1:18.900
21,22,Henri Pescarolo,March Ford,1:19.000
24,23,Helmut  Marko ,BRM,1:19.100
22,24,Carlos Pace,March Ford,1:20.300
25,25,Rolf Stommelen,Eifelland Ford,1:20.400
27,26,John Love,Surtees Ford,1:21.000
