,Position,Driver,Car,Time
15,1,Sebastian Vettel,RBR Renault,1:28.316
22,2,Jenson Button,Brawn Mercedes,1:28.421
23,3,Rubens Barrichello,Brawn Mercedes,1:28.579
14,4,Mark Webber,RBR Renault,1:28.613
9,5,Jarno Trulli,Toyota,1:28.666
4,6,Kimi Räikkönen,Ferrari,1:28.815
3,7,Felipe Massa,Ferrari,1:28.858
7,8,Fernando Alonso,Renault,1:29.075
16,9,Nico Rosberg,Williams Toyota,1:29.191
5,10,Robert Kubica,Sauber BMW,1:29.357
6,11,Nick Heidfeld,Sauber BMW,1:27.521
17,12,Kazuki Nakajima,Williams Toyota,1:27.629
10,13,Timo Glock,Toyota,1:27.795
2,14,Heikki Kovalainen,McLaren Mercedes,1:28.207
20,15,Adrian Sutil,Force India Mercedes,1:28.391
1,16,Lewis Hamilton,McLaren Mercedes,1:28.318
8,17,Nelson Piquet,Renault,1:28.582
12,18,Sebastien Buemi,STR Ferrari,1:28.708
21,19,Giancarlo Fisichella,Force India Mercedes,1:28.717
11,20,Sebastien Bourdais,STR Ferrari,1:28.918
