,Position,Driver,Car,Laps,Time,Points
22,1,Jenson Button,Brawn Mercedes,58,1:26:24.848,10
14,2,Mark Webber,RBR Renault,58,+6.714s,8
15,3,Sebastian Vettel,RBR Renault,58,+7.461s,6
9,4,Jarno Trulli,Toyota,58,+27.843s,5
16,5,Nico Rosberg,Williams Toyota,58,+31.539s,4
3,6,Felipe Massa,Ferrari,58,+39.996s,3
5,7,Robert Kubica,Sauber BMW,58,+46.247s,2
10,8,Timo Glock,Toyota,58,+46.959s,1
4,9,Kimi Räikkönen,Ferrari,58,+50.246s,0
7,10,Fernando Alonso,Renault,58,+62.420s,0
6,11,Nick Heidfeld,Sauber BMW,58,+64.327s,0
17,12,Kazuki Nakajima,Williams Toyota,58,+66.376s,0
1,13,Lewis Hamilton,McLaren Mercedes,58,+80.454s,0
2,14,Heikki Kovalainen,McLaren Mercedes,57,+1 lap,0
12,15,Sebastien Buemi,STR Ferrari,57,+1 lap,0
8,16,Nelson Piquet,Renault,57,+1 lap,0
20,17,Adrian Sutil,Force India Mercedes,57,+1 lap,0
11,18,Sebastien Bourdais,STR Ferrari,57,+1 lap,0
23,NC,Rubens Barrichello,Brawn Mercedes,47,DNF,0
21,NC,Giancarlo Fisichella,Force India Mercedes,4,DNF,0
